State,Year,Undergrad,Graduate,Professional,Total
Florida,1978,17,34,1,52
Florida,1979,27,41,3,71
Florida,1980,30,30,2,62
Florida,1981,35,30,2,67
Florida,1982,32,37,1,70
Florida,1983,27,28,0,55
Florida,1984,25,30,0,55
Florida,1985,17,27,2,46
Florida,1986,32,23,1,56
Florida,1987,29,25,1,55
Florida,1988,46,27,4,77
Florida,1989,43,23,3,69
Florida,1990,53,25,2,80
Florida,1991,49,26,1,76
Florida,1992,46,36,2,84
Florida,1993,50,35,2,87
Florida,1994,44,33,2,79
Florida,1995,48,50,2,100
Florida,1996,52,60,3,115
Florida,1997,48,59,3,110
Florida,1998,50,3,61,114
Florida,1999,50,8,62,120
Florida,2000,58,9,60,127
Florida,2001,58,10,67,135
Florida,2002,51,10,72,133
Florida,2003,55,8,73,136
Florida,2004,56,3,23,82
Florida,2005,55,5,31,91
Florida,2006,42,8,44,94
Florida,2007,43,11,50,104
Florida,2008,50,8,60,118
Florida,2009,67,15,68,150
Florida,2010,67,15,68,150
Florida,2011,69,19,66,154
Florida,2012,81,17,58,156
Florida,2013,80,16,56,152
Florida,2014,97,11,47,155
Florida,2015,111,17,47,175
Florida,2016,99,26,56,181
Florida,2017,89,20,101,210
Georgia,1975,3,23,0,26
Georgia,1976,3,24,0,27
Georgia,1977,1,19,1,21
Georgia,1978,3,13,1,17
Georgia,1979,8,8,1,17
Georgia,1980,7,6,0,13
Georgia,1981,6,11,0,17
Georgia,1982,9,15,0,24
Georgia,1983,11,13,0,24
Georgia,1984,15,8,0,23
Georgia,1985,16,15,1,32
Georgia,1986,38,12,1,51
Georgia,1987,24,21,1,46
Georgia,1988,18,9,0,27
Georgia,1989,22,12,2,36
Georgia,1990,22,20,1,43
Georgia,1991,26,17,1,44
Georgia,1992,30,21,1,52
Georgia,1993,29,21,2,52
Georgia,1994,27,15,2,44
Georgia,1995,29,30,2,61
Georgia,1996,31,26,0,57
Georgia,1997,26,37,1,64
Georgia,1998,23,3,39,65
Georgia,1999,21,6,41,68
Georgia,2000,23,5,44,72
Georgia,2001,18,5,38,61
Georgia,2002,32,2,43,77
Georgia,2003,26,3,41,70
Georgia,2004,26,1,21,48
Georgia,2005,21,5,27,53
Georgia,2006,31,6,24,61
Georgia,2007,25,5,25,55
Georgia,2008,28,3,27,58
Georgia,2009,31,4,32,67
Georgia,2010,31,4,32,67
Georgia,2011,46,5,27,78
Georgia,2012,45,4,24,73
Georgia,2013,44,5,23,72
Georgia,2014,54,4,31,89
Georgia,2015,59,3,31,93
Georgia,2016,81,3,33,117
Georgia,2017,89,4,56,149
Guam,2013,0,0,1,1
Guam,2014,1,0,1,2
Guam,2015,1,0,1,2
Guam,2016,1,0,0,1
Guam,2017,1,0,0,1
Hawaii,1975,7,9,0,16
Hawaii,1976,7,7,1,15
Hawaii,1977,7,7,0,14
Hawaii,1978,5,12,0,17
Hawaii,1979,2,6,0,8
Hawaii,1980,3,2,0,5
Hawaii,1981,7,5,0,12
Hawaii,1982,10,9,0,19
Hawaii,1983,12,14,0,26
Hawaii,1984,8,9,0,17
Hawaii,1985,2,2,0,4
Hawaii,1986,1,1,0,2
Hawaii,1987,0,0,0,0
Hawaii,1988,5,5,1,11
Hawaii,1989,5,7,0,12
Hawaii,1990,7,12,0,19
Hawaii,1991,8,8,0,16
Hawaii,1992,11,7,0,18
Hawaii,1993,11,6,0,17
Hawaii,1994,16,6,0,22
Hawaii,1995,26,8,0,34
Hawaii,1996,40,7,0,47
Hawaii,1997,53,5,0,58
Hawaii,1998,58,0,6,64
Hawaii,1999,54,0,12,66
Hawaii,2000,54,0,8,62
Hawaii,2001,40,0,7,47
Hawaii,2002,34,0,6,40
Hawaii,2003,23,1,7,31
Hawaii,2004,13,0,3,16
Hawaii,2005,13,0,4,17
Hawaii,2006,8,0,5,13
Hawaii,2007,6,1,5,12
Hawaii,2008,6,1,6,13
Hawaii,2009,6,1,9,16
Hawaii,2010,6,1,9,16
Hawaii,2011,5,1,8,14
Hawaii,2012,6,1,10,17
Hawaii,2013,9,1,10,20
Hawaii,2014,7,0,7,14
Hawaii,2015,7,0,8,15
Hawaii,2016,8,0,9,17
Hawaii,2017,9,0,10,19
Idaho,1975,1,6,0,7
Idaho,1976,1,5,0,6
Idaho,1977,3,3,0,6
Idaho,1978,0,2,0,2
Idaho,1979,2,7,0,9
Idaho,1980,1,7,0,8
Idaho,1981,1,5,0,6
Idaho,1982,0,7,0,7
Idaho,1983,1,8,0,9
Idaho,1984,0,3,0,3
Idaho,1985,0,7,0,7
Idaho,1986,0,3,0,3
Idaho,1987,1,5,0,6
Idaho,1988,0,1,0,1
Idaho,1989,0,2,0,2
Idaho,1990,0,4,0,4
Idaho,1991,1,6,0,7
Idaho,1992,1,4,0,5
Idaho,1993,1,5,0,6
Idaho,1994,0,7,0,7
Idaho,1995,2,11,0,13
Idaho,1996,3,9,0,12
Idaho,1997,2,8,0,10
Idaho,1998,3,0,6,9
Idaho,1999,3,0,6,9
Idaho,2000,2,0,8,10
Idaho,2001,2,0,8,10
Idaho,2002,2,0,8,10
Idaho,2003,4,0,8,12
Idaho,2004,3,1,3,7
Idaho,2005,5,0,5,10
Idaho,2006,3,2,6,11
Idaho,2007,2,1,8,11
Idaho,2008,2,1,10,13
Idaho,2009,2,2,10,14
Idaho,2010,2,2,10,14
Idaho,2011,3,3,10,16
Idaho,2012,2,2,7,11
Idaho,2013,1,1,6,8
Idaho,2014,5,1,8,14
Idaho,2015,2,1,8,11
Idaho,2016,3,1,12,16
Idaho,2017,5,1,14,20
Illinois,1975,25049,5582,1017,31648
Illinois,1976,24052,5178,1032,30262
Illinois,1977,24557,4938,1036,30531
Illinois,1978,24593,4738,920,30251
Illinois,1979,25269,4775,903,30947
Illinois,1980,25615,4686,913,31214
Illinois,1981,25695,4908,915,31518
Illinois,1982,25416,4971,928,31315
Illinois,1983,25083,4874,938,30895
Illinois,1984,25124,4839,904,30867
Illinois,1985,26126,4823,895,31844
Illinois,1986,26024,5034,902,31960
Illinois,1987,25733,5029,886,31648
Illinois,1988,25478,2995,852,29325
Illinois,1989,24479,4784,851,30114
Illinois,1990,24735,4765,854,30354
Illinois,1991,24618,5068,869,30555
Illinois,1992,23992,5056,849,29897
Illinois,1993,24371,5086,842,30299
Illinois,1994,24308,4927,845,30080
Illinois,1995,24408,4484,845,29737
Illinois,1996,24231,3917,773,28921
Illinois,1997,24292,3414,762,28468
Illinois,1998,24807,760,3096,28663
Illinois,1999,25222,766,2868,28856
Illinois,2000,25150,787,2787,28724
Illinois,2001,25106,835,2904,28845
Illinois,2002,25085,824,3091,29000
Illinois,2003,25129,825,3084,29038
Illinois,2004,25494,805,2941,29240
Illinois,2005,26539,718,2807,30064
Illinois,2006,27049,703,2828,30580
Illinois,2007,26848,686,2894,30428
Illinois,2008,26677,707,2903,30287
Illinois,2009,25465,704,2901,29070
Illinois,2010,25465,704,2901,29070
Illinois,2011,25197,687,2845,28729
Illinois,2012,24683,701,2839,28223
Illinois,2013,24299,677,2825,27801
Illinois,2014,23853,630,2677,27160
Illinois,2015,23720,607,2580,26907
Illinois,2016,24169,542,2458,27169
Illinois,2017,24251,537,3330,28118
Indiana,1975,70,83,0,153
Indiana,1976,70,90,2,162
Indiana,1977,57,91,4,152
Indiana,1978,54,93,4,151
Indiana,1979,60,88,2,150
Indiana,1980,68,92,2,162
Indiana,1981,69,78,7,154
Indiana,1982,61,60,3,124
Indiana,1983,49,69,2,120
Indiana,1984,67,74,3,144
Indiana,1985,64,69,2,135
Indiana,1986,76,74,3,153
Indiana,1987,94,77,2,173
Indiana,1988,93,65,6,164
Indiana,1989,94,68,4,166
Indiana,1990,95,71,1,167
Indiana,1991,89,57,2,148
Indiana,1992,86,63,4,153
Indiana,1993,70,67,4,141
Indiana,1994,85,59,5,149
Indiana,1995,68,79,5,152
Indiana,1996,78,96,10,184
Indiana,1997,79,92,10,181
Indiana,1998,90,10,98,198
Indiana,1999,98,9,103,210
Indiana,2000,90,9,107,206
Indiana,2001,87,7,122,216
Indiana,2002,91,8,125,224
Indiana,2003,86,8,123,217
Indiana,2004,95,5,47,147
Indiana,2005,89,1,48,138
Indiana,2006,79,3,57,139
Indiana,2007,74,4,75,153
Indiana,2008,65,3,68,136
Indiana,2009,49,6,63,118
Indiana,2010,49,6,63,118
Indiana,2011,55,11,66,132
Indiana,2012,56,11,78,145
Indiana,2013,57,11,68,136
Indiana,2014,58,9,73,140
Indiana,2015,62,12,76,150
Indiana,2016,58,16,80,154
Indiana,2017,65,17,103,185
Iowa,1975,14,38,2,54
Iowa,1976,14,34,1,49
Iowa,1977,21,32,1,54
Iowa,1978,29,38,1,68
Iowa,1979,29,44,1,74
Iowa,1980,20,38,1,59
Iowa,1981,18,30,1,49
Iowa,1982,15,40,1,56
Iowa,1983,21,30,1,52
Iowa,1984,23,37,1,61
Iowa,1985,24,42,2,68
Iowa,1986,25,34,0,59
Iowa,1987,25,28,1,54
Iowa,1988,29,21,1,51
Iowa,1989,38,38,1,77
Iowa,1990,45,33,0,78
Iowa,1991,40,38,0,78
Iowa,1992,35,37,0,72
Iowa,1993,28,42,0,70
Iowa,1994,31,31,0,62
Iowa,1995,35,45,0,80
Iowa,1996,36,55,1,92
Iowa,1997,44,61,2,107
Iowa,1998,39,2,59,100
Iowa,1999,47,3,53,103
Iowa,2000,40,2,50,92
Iowa,2001,35,3,59,97
Iowa,2002,31,2,70,103
Iowa,2003,34,2,76,112
Iowa,2004,33,2,34,69
Iowa,2005,40,3,29,72
Iowa,2006,41,4,37,82
Iowa,2007,34,4,42,80
Iowa,2008,29,5,45,79
Iowa,2009,26,2,53,81
Iowa,2010,26,2,53,81
Iowa,2011,32,1,48,81
Iowa,2012,20,2,46,68
Iowa,2013,27,3,51,81
Iowa,2014,29,2,49,80
Iowa,2015,28,1,40,69
Iowa,2016,35,3,39,77
Iowa,2017,39,3,43,85
Kansas,1975,4,26,0,30
Kansas,1976,3,20,0,23
Kansas,1977,3,34,1,38
Kansas,1978,6,25,0,31
Kansas,1979,8,23,1,32
Kansas,1980,14,22,2,38
Kansas,1981,10,20,1,31
Kansas,1982,11,26,1,38
Kansas,1983,7,27,2,36
Kansas,1984,10,18,1,29
Kansas,1985,13,27,0,40
Kansas,1986,7,4,0,11
Kansas,1987,14,27,1,42
Kansas,1988,12,20,1,33
Kansas,1989,13,21,3,37
Kansas,1990,18,23,3,44
Kansas,1991,16,22,1,39
Kansas,1992,18,10,1,29
Kansas,1993,23,12,1,36
Kansas,1994,26,9,0,35
Kansas,1995,29,17,0,46
Kansas,1996,27,15,0,42
Kansas,1997,31,19,1,51
Kansas,1998,31,1,25,57
Kansas,1999,27,2,24,53
Kansas,2000,35,2,32,69
Kansas,2001,41,4,37,82
Kansas,2002,34,3,40,77
Kansas,2003,46,2,45,93
Kansas,2004,41,2,15,58
Kansas,2005,37,2,24,63
Kansas,2006,35,2,29,66
Kansas,2007,34,0,25,59
Kansas,2008,38,1,15,54
Kansas,2009,33,5,14,52
Kansas,2010,33,5,14,52
Kansas,2011,25,3,15,43
Kansas,2012,20,2,18,40
Kansas,2013,23,1,29,53
Kansas,2014,22,1,30,53
Kansas,2015,19,2,22,43
Kansas,2016,25,2,15,42
Kansas,2017,24,2,26,52
Kentucky,1975,7,32,0,39
Kentucky,1976,7,15,0,22
Kentucky,1977,12,21,0,33
Kentucky,1978,12,18,0,30
Kentucky,1979,11,16,1,28
Kentucky,1980,7,21,0,28
Kentucky,1981,11,24,0,35
Kentucky,1982,20,16,0,36
Kentucky,1983,20,14,0,34
Kentucky,1984,28,16,0,44
Kentucky,1985,32,21,0,53
Kentucky,1986,36,26,0,62
Kentucky,1987,39,21,0,60
Kentucky,1988,34,15,0,49
Kentucky,1989,36,23,0,59
Kentucky,1990,42,22,1,65
Kentucky,1991,41,25,1,67
Kentucky,1992,44,26,1,71
Kentucky,1993,44,25,2,71
Kentucky,1994,34,13,5,52
Kentucky,1995,32,17,5,54
Kentucky,1996,32,17,5,54
Kentucky,1997,37,22,5,64
Kentucky,1998,34,3,22,59
Kentucky,1999,43,2,23,68
Kentucky,2000,42,0,33,75
Kentucky,2001,37,1,35,73
Kentucky,2002,34,2,35,71
Kentucky,2003,36,4,36,76
Kentucky,2004,30,3,16,49
Kentucky,2005,40,4,21,65
Kentucky,2006,38,1,26,65
Kentucky,2007,28,2,22,52
Kentucky,2008,25,2,27,54
Kentucky,2009,15,4,24,43
Kentucky,2010,15,4,24,43
Kentucky,2011,23,3,22,48
Kentucky,2012,25,4,20,49
Kentucky,2013,28,3,26,57
Kentucky,2014,33,3,25,61
Kentucky,2015,32,3,23,58
Kentucky,2016,30,3,23,56
Kentucky,2017,30,3,24,57
Louisiana,1975,2,17,0,19
Louisiana,1976,2,24,1,27
Louisiana,1977,4,18,1,23
Louisiana,1978,2,10,0,12
Louisiana,1979,2,12,0,14
Louisiana,1980,2,8,0,10
Louisiana,1981,5,9,0,14
Louisiana,1982,3,6,0,9
Louisiana,1983,2,11,0,13
Louisiana,1984,4,12,0,16
Louisiana,1985,6,17,0,23
Louisiana,1986,5,11,0,16
Louisiana,1987,5,6,0,11
Louisiana,1988,4,7,1,12
Louisiana,1989,4,8,1,13
Louisiana,1990,8,12,2,22
Louisiana,1991,7,17,1,25
Louisiana,1992,6,13,0,19
Louisiana,1993,9,16,1,26
Louisiana,1994,12,20,0,32
Louisiana,1995,11,19,0,30
Louisiana,1996,12,20,0,32
Louisiana,1997,17,17,0,34
Louisiana,1998,13,0,13,26
Louisiana,1999,7,0,15,22
Louisiana,2000,12,2,21,35
Louisiana,2001,10,2,20,32
Louisiana,2002,8,2,19,29
Louisiana,2003,8,2,26,36
Louisiana,2004,12,0,9,21
Louisiana,2005,10,0,9,19
Louisiana,2006,12,2,11,25
Louisiana,2007,7,2,15,24
Louisiana,2008,4,1,14,19
Louisiana,2009,6,2,10,18
Louisiana,2010,6,2,10,18
Louisiana,2011,5,2,8,15
Louisiana,2012,8,2,10,20
Louisiana,2013,14,1,14,29
Louisiana,2014,13,1,15,29
Louisiana,2015,12,1,12,25
Louisiana,2016,10,2,16,28
Louisiana,2017,9,2,20,31
Maine,1975,1,5,0,6
Maine,1976,1,9,0,10
Maine,1977,1,8,0,9
Maine,1978,0,7,0,7
Maine,1979,1,4,0,5
Maine,1980,1,3,0,4
Maine,1981,2,5,0,7
Maine,1982,1,3,0,4
Maine,1983,2,2,0,4
Maine,1984,1,3,0,4
Maine,1985,1,4,0,5
Maine,1986,2,4,0,6
Maine,1987,1,1,0,2
Maine,1988,2,2,0,4
Maine,1989,3,1,0,4
Maine,1990,4,0,0,4
Maine,1991,4,1,0,5
Maine,1992,3,2,0,5
Maine,1993,0,4,0,4
Maine,1994,1,7,0,8
Maine,1995,3,7,0,10
Maine,1996,1,12,2,15
Maine,1997,7,8,2,17
Maine,1998,3,2,9,14
Maine,1999,3,1,8,12
Maine,2000,6,0,7,13
Maine,2001,4,1,12,17
Maine,2002,6,1,9,16
Maine,2003,8,2,7,17
Maine,2004,5,1,2,8
Maine,2005,3,0,5,8
Maine,2006,2,0,4,6
Maine,2007,2,0,6,8
Maine,2008,3,1,6,10
Maine,2009,2,1,7,10
Maine,2010,2,1,7,10
Maine,2011,2,1,5,8
Maine,2012,5,3,2,10
Maine,2013,3,1,4,8
Maine,2014,3,1,6,10
Maine,2015,4,2,8,14
Maine,2016,5,0,9,14
Maine,2017,3,0,12,15
Maryland,1975,10,43,1,54
Maryland,1976,13,34,0,47
Maryland,1977,6,28,0,34
Maryland,1978,5,29,1,35
Maryland,1979,6,18,2,26
Maryland,1980,10,32,1,43
Maryland,1981,8,38,2,48
Maryland,1982,7,32,0,39
Maryland,1983,13,28,0,41
Maryland,1984,18,18,0,36
Maryland,1985,22,17,0,39
Maryland,1986,25,23,1,49
Maryland,1987,26,23,0,49
Maryland,1988,21,14,1,36
Maryland,1989,20,23,2,45
Maryland,1990,30,28,3,61
Maryland,1991,34,36,1,71
Maryland,1992,44,34,0,78
