Season,Date,Location,Opponent,Result,IlliniScore,OpponentScore,Note
1975,9/27/1975,@,Texas A&M,L,13,43,
1975,10/4/1975,vs.,Washington State,W,27,21,
1975,10/11/1975,vs.,Minnesota,W,42,23,
1975,10/18/1975,vs.,Purdue,L,24,26,Homecoming
1975,10/25/1975,@,Michigan State,W,21,19,
1975,11/1/1975,@,Wisconsin,L,9,18,
1975,11/8/1975,vs.,Ohio State,L,3,40,
1975,11/15/1975,vs.,Michigan,L,15,21,
1975,11/22/1975,@,Northwestern,W,28,7,
1974,9/14/1974,vs.,Indiana,W,16,0,
1974,9/21/1974,@,Stanford,W,41,7,
1974,9/28/1974,vs.,Washington State,W,21,19,
1974,10/5/1974,vs.,California,L,14,31,
1974,10/12/1974,@,Purdue,W,27,23,
1974,10/19/1974,vs.,Michigan State,T,21,21,
1974,10/26/1974,@,Iowa,L,12,14,
1974,11/2/1974,@,Ohio State,L,7,49,
1974,11/9/1974,vs.,Michigan,L,6,14,Homecoming
1974,11/16/1974,@,Minnesota,W,17,14,
1974,11/23/1974,vs.,Northwestern,W,28,14,
1973,9/15/1973,@,Indiana,W,28,14,
1973,9/22/1973,@,California,W,27,7,
1973,9/29/1973,vs.,West Virginia,L,10,17,
1973,10/6/1973,vs.,Stanford,L,0,24,
1973,10/13/1973,vs.,Purdue,W,15,13,
1973,10/20/1973,@,Michigan State,W,6,3,
1973,10/27/1973,vs.,Iowa,W,50,0,Homecoming
1973,11/3/1973,vs.,Ohio State,L,0,30,
1973,11/10/1973,@,Michigan,L,6,21,
1973,11/17/1973,vs.,Minnesota,L,16,19,
1973,11/24/1973,@,Northwestern,L,6,9,
1972,9/16/1972,vs.,Michigan State,L,0,24,
1972,9/23/1972,vs.,Southern California,L,20,55,
1972,9/30/1972,@,Washington,L,11,31,
1972,10/7/1972,vs.,Penn State,L,17,35,
1972,10/14/1972,@,Ohio State,L,7,26,
1972,10/21/1972,vs.,Michigan,L,7,31,Homecoming
1972,10/28/1972,@,Purdue,L,14,20,
1972,11/4/1972,@,Northwestern,W,43,13,
1972,11/11/1972,vs.,Indiana,W,37,20,
1972,11/18/1972,vs.,Wisconsin,W,27,7,
1972,11/25/1972,@,Iowa,L,14,15,
1971,9/11/1971,@,Michigan State,L,0,10,
1971,9/18/1971,vs.,North Carolina,L,0,27,
1971,9/25/1971,@,Southern California,L,0,28,
1971,10/2/1971,vs.,Washington,L,14,52,
1971,10/9/1971,vs.,Ohio State,L,10,24,
1971,10/16/1971,@,Michigan,L,6,35,
1971,10/23/1971,vs.,Purdue,W,21,7,Homecoming
1971,10/30/1971,vs.,Northwestern,W,24,7,
1971,11/6/1971,@,Indiana,W,22,21,
1971,11/13/1971,@,Wisconsin,W,35,27,
1971,11/20/1971,vs.,Iowa,W,31,0,
1970,9/19/1970,vs.,Oregon,W,20,16,
1970,9/26/1970,vs.,Tulane,L,9,23,
1970,10/3/1970,vs.,Syracuse,W,27,0,
1970,10/10/1970,@,Northwestern,L,0,48,
1970,10/17/1970,vs.,Indiana,L,24,30,Homecoming
1970,10/24/1970,vs.,Ohio State,L,29,48,
1970,10/31/1970,@,Purdue,W,23,21,
1970,11/7/1970,@,Michigan,L,0,42,
1970,11/14/1970,vs.,Wisconsin,L,17,29,
1970,11/21/1970,@,Iowa,L,16,22,
1969,9/20/1969,vs.,Washington State,L,18,19,
1969,9/27/1969,"St. Louis, MO",Missouri,L,6,37,
1969,10/4/1969,vs.,Iowa State,L,20,48,
1969,10/11/1969,vs.,Northwestern,L,6,10,
1969,10/18/1969,@,Indiana,L,20,41,
1969,10/25/1969,@,Ohio State,L,0,41,
1969,11/1/1969,vs.,Purdue,L,22,49,Homecoming
1969,11/8/1969,vs.,Michigan,L,0,57,
1969,11/15/1969,@,Wisconsin,L,14,55,
1969,11/22/1969,vs.,Iowa,L,0,40,
1968,9/21/1968,vs.,Kansas,L,7,47,
1968,9/28/1968,vs.,Missouri,L,0,44,
1968,10/5/1968,@,Indiana,L,14,28,
1968,10/12/1968,@,Minnesota,L,10,17,
1968,10/19/1968,@,Notre Dame,L,8,58,
1968,10/26/1968,vs.,Ohio State,L,24,31,Homecoming
1968,11/2/1968,@,Purdue,L,17,35,
1968,11/9/1968,@,Michigan,L,0,36,
1968,11/16/1968,vs.,Northwestern,W,14,0,
1968,11/23/1968,vs.,Iowa,L,13,37,
1967,9/23/1967,@,Florida,L,0,14,
1967,9/30/1967,vs.,Pittsburgh,W,34,6,
1967,10/7/1967,vs.,Indiana,L,7,20,
1967,10/14/1967,vs.,Minnesota,L,7,10,Homecoming
1967,10/21/1967,vs.,Notre Dame,L,7,47,
1967,10/28/1967,@,Ohio State,W,17,13,
1967,11/4/1967,vs.,Purdue,L,9,42,
1967,11/11/1967,vs.,Michigan,L,14,21,
1967,11/18/1967,@,Northwestern,W,27,21,
1967,11/25/1967,@,Iowa,W,21,19,
1966,9/17/1966,@,Southern Methodist,L,7,26,
1966,9/24/1966,vs.,Missouri,L,14,21,
1966,10/1/1966,vs.,Michigan State,L,10,26,
1966,10/8/1966,vs.,Ohio State,W,10,9,
1966,10/15/1966,@,Indiana,W,24,10,
1966,10/22/1966,vs.,Stanford,L,3,6,Homecoming
1966,10/29/1966,@,Purdue,L,21,25,
1966,11/5/1966,@,Michigan,W,28,21,
1966,11/12/1966,vs.,Wisconsin,W,49,14,
1966,11/19/1966,@,Northwestern,L,7,35,
1965,9/18/1965,vs.,Oregon State,L,10,12,
1965,9/25/1965,vs.,Southern Methodist,W,42,0,
1965,10/2/1965,@,Michigan State,L,12,22,
1965,10/9/1965,@,Ohio State,L,14,28,
1965,10/16/1965,vs.,Indiana,W,34,13,Homecoming
1965,10/23/1965,vs.,Duke,W,28,14,
1965,10/30/1965,vs.,Purdue,W,21,0,
1965,11/6/1965,vs.,Michigan,L,3,23,
1965,11/13/1965,@,Wisconsin,W,51,0,
1965,11/20/1965,@,Northwestern,W,20,6,
1964,9/26/1964,@,California,W,20,14,
1964,10/3/1964,@,Northwestern,W,17,6,
1964,10/10/1964,vs.,Ohio State,L,0,26,Homecoming
1964,10/17/1964,@,Minnesota,W,14,0,
1964,10/24/1964,vs.,UCLA,W,26,7,
1964,10/31/1964,@,Purdue,L,14,26,
1964,11/7/1964,@,Michigan,L,6,21,
1964,11/14/1964,vs.,Wisconsin,W,29,0,
1964,11/21/1964,vs.,Michigan State,W,16,0,
1963,1/1/1964,"Pasadena, CA",Washington,W,17,7,Rose Bowl
1963,9/28/1963,vs.,California,W,10,0,
1963,10/5/1963,vs.,Northwestern,W,10,9,
1963,10/12/1963,@,Ohio State,T,20,20,
1963,10/19/1963,vs.,Minnesota,W,16,6,Homecoming
1963,10/25/1963,@,UCLA,W,18,12,
1963,11/2/1963,vs.,Purdue,W,41,21,
1963,11/9/1963,vs.,Michigan,L,8,14,
1963,11/16/1963,@,Wisconsin,W,17,7,
1963,11/28/1963,@,Michigan State,W,13,0,
1962,9/29/1962,@,Washington,L,7,28,
1962,10/6/1962,@,Northwestern,L,0,45,
1962,10/13/1962,vs.,Ohio State,L,15,51,Homecoming
1962,10/20/1962,@,Minnesota,L,0,17,
1962,10/27/1962,vs.,Southern California,L,16,28,
1962,11/3/1962,@,Purdue,W,14,10,
1962,11/10/1962,@,Michigan,L,10,14,
1962,11/17/1962,vs.,Wisconsin,L,6,35,
1962,11/24/1962,vs.,Michigan State,W,7,6,
1961,9/30/1961,vs.,Washington,L,7,20,
1961,10/7/1961,vs.,Northwestern,L,7,28,
1961,10/14/1961,@,Ohio State,L,0,44,
1961,10/21/1961,vs.,Minnesota,L,0,33,Homecoming
1961,10/28/1961,@,Southern California,L,10,14,
1961,11/4/1961,vs.,Purdue,L,9,23,
1961,11/11/1961,vs.,Michigan,L,6,38,
1961,11/18/1961,@,Wisconsin,L,7,55,
1961,11/25/1961,@,Michigan State,L,7,34,
1960,9/24/1960,vs.,Indiana,W,17,6,
1960,10/1/1960,vs.,West Virginia,W,33,0,
1960,10/8/1960,vs.,Ohio State,L,7,34,Homecoming
1960,10/15/1960,@,Minnesota,L,10,21,
1960,10/22/1960,vs.,Penn State,W,10,8,
1960,10/29/1960,@,Purdue,W,14,12,
1960,11/5/1960,@,Michigan,L,7,8,
1960,11/12/1960,vs.,Wisconsin,W,35,14,
1960,11/19/1960,@,Northwestern,L,7,14,
1959,9/26/1959,@,Indiana,L,0,20,
1959,10/3/1959,vs.,Army,W,20,14,
1959,10/10/1959,@,Ohio State,W,9,0,
1959,10/17/1959,vs.,Minnesota,W,14,6,Homecoming
1959,10/24/1959,"Cleveland, OH",Penn State,L,9,20,
1959,10/31/1959,vs.,Purdue,T,7,7,
1959,11/7/1959,vs.,Michigan,L,15,20,
1959,11/14/1959,@,Wisconsin,W,9,6,
1959,11/21/1959,vs.,Northwestern,W,28,0,
1958,9/27/1958,vs.,UCLA,L,14,18,
1958,10/4/1958,@,Duke,L,13,15,
1958,10/11/1958,vs.,Ohio State,L,13,19,
1958,10/18/1958,@,Minnesota,W,20,8,
1958,10/25/1958,vs.,Michigan State,W,16,0,Homecoming
1958,11/1/1958,@,Purdue,L,8,31,
1958,11/8/1958,@,Michigan,W,21,8,
1958,11/15/1958,vs.,Wisconsin,L,12,31,
1958,11/22/1958,vs.,Northwestern,W,27,20,
1957,9/27/1957,@,UCLA,L,6,16,
1957,10/5/1957,vs.,Colgate,W,40,0,
1957,10/12/1957,@,Ohio State,L,7,21,
1957,10/19/1957,vs.,Minnesota,W,34,13,Homecoming
1957,10/26/1957,@,Michigan State,L,14,19,
1957,11/2/1957,vs.,Purdue,L,6,21,
1957,11/9/1957,vs.,Michigan,W,20,19,
1957,11/16/1957,@,Wisconsin,L,13,24,
1957,11/23/1957,vs.,Northwestern,W,27,0,
1956,9/29/1956,vs.,California,W,32,20,
1956,10/6/1956,@,Washington,L,13,28,
1956,10/13/1956,vs.,Ohio State,L,6,26,
1956,10/20/1956,@,Minnesota,L,13,16,
1956,10/27/1956,vs.,Michigan State,W,20,13,Homecoming
1956,11/3/1956,@,Purdue,T,7,7,
1956,11/10/1956,@,Michigan,L,7,17,
1956,11/17/1956,vs.,Wisconsin,T,13,13,
1956,11/24/1956,@,Northwestern,L,13,14,
1955,9/24/1955,@,California,W,20,13,
1955,10/1/1955,vs.,Iowa State,W,40,0,
1955,10/8/1955,@,Ohio State,L,12,27,
1955,10/15/1955,vs.,Minnesota,W,21,13,
1955,10/22/1955,@,Michigan State,L,7,21,
1955,10/29/1955,vs.,Purdue,L,0,13,Homecoming
1955,11/5/1955,vs.,Michigan,W,25,6,
1955,11/12/1955,@,Wisconsin,W,17,14,
1955,11/19/1955,@,Northwestern,T,7,7,
1954,9/25/1954,vs.,Penn State,L,12,14,
1954,10/2/1954,@,Stanford,L,2,12,
1954,10/9/1954,vs.,Ohio State,L,7,40,
1954,10/16/1954,@,Minnesota,L,6,19,
1954,10/23/1954,vs.,Syracuse,W,34,6,
1954,10/30/1954,@,Purdue,L,14,28,
1954,11/6/1954,@,Michigan,L,7,14,
1954,11/13/1954,vs.,Wisconsin,L,14,27,Homecoming
1954,11/20/1954,vs.,Northwestern,L,7,20,
1953,9/26/1953,vs.,Nebraska,T,21,21,
1953,10/3/1953,vs.,Stanford,W,33,21,
1953,10/10/1953,@,Ohio State,W,41,20,
1953,10/17/1953,vs.,Minnesota,W,27,7,
1953,10/24/1953,vs.,Syracuse,W,20,13,
1953,10/31/1953,vs.,Purdue,W,21,0,
1953,11/7/1953,vs.,Michigan,W,19,3,Homecoming
1953,11/14/1953,@,Wisconsin,L,7,34,
1953,11/21/1953,@,Northwestern,W,39,14,
1952,9/27/1952,vs.,Iowa State,W,33,7,
1952,10/4/1952,@,Wisconsin,L,6,20,
1952,10/11/1952,vs.,Washington,W,48,14,
1952,10/18/1952,@,Minnesota,L,7,13,
1952,10/25/1952,vs.,Purdue,L,12,40,Homecoming
1952,11/1/1952,@,Michigan,W,22,13,
1952,11/8/1952,@,Iowa,W,33,13,
1952,11/15/1952,vs.,Ohio State,L,7,27,
1952,11/22/1952,vs.,Northwestern,L,26,28,
1951,1/1/1952,"Pasadena, CA",Stanford,W,40,7,Rose Bowl
1951,9/29/1951,vs.,UCLA,W,27,13,
1951,10/6/1951,vs.,Wisconsin,W,14,10,
1951,10/13/1951,@,Syracuse,W,41,20,
1951,10/20/1951,@,Washington,W,27,20,
1951,10/27/1951,@,Indiana,W,21,0,
1951,11/3/1951,vs.,Michigan,W,7,0,
1951,11/10/1951,vs.,Iowa,W,40,13,Homecoming
1951,11/17/1951,@,Ohio State,T,0,0,
1951,11/24/1951,@,Northwestern,W,3,0,
1950,9/30/1950,vs.,Ohio,W,28,2,
1950,10/7/1950,vs.,Wisconsin,L,6,7,
1950,10/13/1950,@,UCLA,W,14,6,
1950,10/21/1950,vs.,Washington,W,20,13,
1950,10/28/1950,vs.,Indiana,W,20,0,Homecoming
1950,11/4/1950,@,Michigan,W,7,0,
1950,11/11/1950,@,Iowa,W,21,7,
1950,11/18/1950,vs.,Ohio State,W,14,7,
1950,11/25/1950,@,Northwestern,L,7,14,
1949,9/24/1949,vs.,Iowa State,T,20,20,
1949,10/1/1949,vs.,Wisconsin,T,13,13,
1949,10/8/1949,@,Iowa,W,20,14,
1949,10/15/1949,vs.,Missouri,L,20,27,
1949,10/22/1949,@,Purdue,W,19,0,
1949,10/29/1949,vs.,Michigan,L,0,13,
1949,11/5/1949,vs.,Indiana,W,33,14,
1949,11/12/1949,@,Ohio State,L,17,30,
1949,11/19/1949,vs.,Northwestern,L,7,9,Homecoming
1948,9/25/1948,vs.,Kansas State,W,40,0,
1948,10/2/1948,@,Wisconsin,L,16,20,
1948,10/9/1948,vs.,Army,L,21,26,
1948,10/16/1948,@,Minnesota,L,0,6,
1948,10/23/1948,vs.,Purdue,W,10,6,
1948,10/30/1948,@,Michigan,L,20,28,
1948,11/6/1948,vs.,Iowa,W,14,0,
1948,11/13/1948,vs.,Ohio State,L,7,34,Homecoming
1948,11/20/1948,@,Northwestern,L,7,20,
1947,9/27/1947,vs.,Pittsburgh,W,14,0,
1947,10/4/1947,@,Iowa,W,35,12,
1947,10/11/1947,"Bronx, NY",Army,T,0,0,
1947,10/18/1947,vs.,Minnesota,W,40,13,
1947,10/25/1947,@,Purdue,L,7,14,
1947,11/1/1947,vs.,Michigan,L,7,14,Homecoming
1947,11/8/1947,vs.,Western Michigan,W,60,14,
1947,11/15/1947,@,Ohio State,W,28,7,
1947,11/22/1947,vs.,Northwestern,L,13,28,
1946,1/1/1947,"Pasadena, CA",UCLA,W,45,14,Rose Bowl
1946,9/21/1946,@,Pittsburgh,W,33,7,
1946,9/28/1946,vs.,Notre Dame,L,6,26,
1946,10/5/1946,vs.,Purdue,W,43,7,
1946,10/12/1946,@,Indiana,L,7,14,
1946,10/19/1946,vs.,Wisconsin,W,27,21,Homecoming
1946,10/26/1946,@,Michigan,W,13,9,
1946,11/2/1946,@,Iowa,W,7,0,
1946,11/16/1946,vs.,Ohio State,W,16,7,
1946,11/23/1946,@,Northwestern,W,20,0,
1945,9/22/1945,vs.,Pittsburgh,W,23,6,
1945,9/29/1945,@,Notre Dame,L,0,7,
1945,10/6/1945,vs.,Indiana,L,0,6,
1945,10/20/1945,@,Wisconsin,T,7,7,
1945,10/27/1945,vs.,Michigan,L,0,19,Homecoming
1945,11/3/1945,vs.,Great Lakes Navy,L,6,12,
1945,11/10/1945,vs.,Iowa,W,48,7,
1945,11/17/1945,@,Ohio State,L,2,27,
1945,11/24/1945,@,Northwestern,L,7,13,
1944,9/16/1944,vs.,Illinois State,W,79,0,
1944,9/23/1944,vs.,Indiana,W,26,18,
1944,9/30/1944,@,Great Lakes Navy,T,26,26,
1944,10/7/1944,vs.,Purdue,L,19,35,
1944,10/14/1944,vs.,Iowa,W,40,6,
1944,10/21/1944,@,Pittsburgh,W,39,5,
1944,10/28/1944,vs.,Notre Dame,L,7,13,Homecoming
1944,11/11/1944,@,Michigan,L,0,14,
1944,11/18/1944,"Cleveland, OH",Ohio State,L,12,26,
1944,11/25/1944,@,Northwestern,W,25,6,
1943,9/11/1943,vs.,Camp Grant,L,0,23,
1943,9/18/1943,vs.,Iowa Pre-Flight,L,18,32,
1943,10/2/1943,@,Purdue,L,21,40,
1943,10/9/1943,@,Wisconsin,W,25,7,
1943,10/16/1943,vs.,Pittsburgh,W,33,25,
1943,10/23/1943,@,Notre Dame,L,0,47,
1943,10/30/1943,vs.,Michigan,L,6,42,Homecoming
1943,11/6/1943,@,Iowa,W,19,10,
1943,11/13/1943,@,Ohio State,L,26,29,
1943,11/20/1943,@,Northwestern,L,6,53,
1942,9/26/1942,vs.,South Dakota,W,46,0,
1942,10/3/1942,vs.,Butler,W,67,0,
1942,10/10/1942,vs.,Minnesota,W,20,13,Homecoming
1942,10/17/1942,@,Iowa,W,12,7,
1942,10/24/1942,vs.,Notre Dame,L,14,21,
1942,10/31/1942,@,Michigan,L,14,28,
1942,11/7/1942,@,Northwestern,W,14,7,
1942,11/14/1942,"Cleveland, OH",Ohio State,L,20,44,
1942,11/21/1942,vs.,Great Lakes Navy,L,0,6,
1942,11/28/1942,@,Camp Grant,W,20,0,
1941,10/4/1941,vs.,Miami,W,45,0,
1941,10/11/1941,@,Minnesota,L,6,34,
1941,10/18/1941,vs.,Drake,W,40,0,
1941,10/25/1941,@,Notre Dame,L,14,49,
1941,11/1/1941,vs.,Michigan,L,0,20,Homecoming
1941,11/8/1941,vs.,Iowa,L,0,21,
1941,11/15/1941,@,Ohio State,L,7,12,
1941,11/22/1941,@,Northwestern,L,0,27,
1940,10/5/1940,vs.,Bradley,W,31,0,
1940,10/12/1940,vs.,Southern California,L,7,13,
1940,10/19/1940,@,Michigan,L,0,28,
1940,10/26/1940,vs.,Notre Dame,L,0,26,Homecoming
1940,11/2/1940,@,Wisconsin,L,6,13,
1940,11/9/1940,@,Northwestern,L,14,32,
1940,11/16/1940,vs.,Ohio State,L,6,14,
1940,11/23/1940,@,Iowa,L,7,18,
1939,9/30/1939,vs.,Bradley,T,0,0,
1939,10/14/1939,@,Southern California,L,0,26,
1939,10/21/1939,vs.,Indiana,L,6,7,
1939,10/28/1939,@,Northwestern,L,0,13,
1939,11/4/1939,vs.,Michigan,W,16,7,Homecoming
1939,11/11/1939,vs.,Wisconsin,W,7,0,
1939,11/18/1939,@,Ohio State,L,0,21,
1939,11/25/1939,@,Chicago,W,46,0,
1938,9/24/1938,vs.,Ohio,L,0,6,
1938,10/1/1938,vs.,DePaul,W,44,7,
1938,10/8/1938,vs.,Indiana,W,12,2,
1938,10/15/1938,@,Notre Dame,L,6,14,
1938,10/22/1938,vs.,Northwestern,L,0,13,Homecoming
1938,10/29/1938,@,Michigan,L,0,14,
1938,11/12/1938,vs.,Ohio State,L,14,32,
1938,11/19/1938,@,Chicago,W,34,0,
1937,9/25/1937,vs.,Ohio,W,20,6,
1937,10/2/1937,vs.,DePaul,T,0,0,
1937,10/9/1937,vs.,Notre Dame,T,0,0,
1937,10/16/1937,@,Indiana,L,6,13,
1937,10/30/1937,vs.,Michigan,L,6,7,Homecoming
1937,11/6/1937,@,Northwestern,W,6,0,
1937,11/13/1937,@,Ohio State,L,0,19,
1937,11/20/1937,vs.,Chicago,W,21,0,
1936,9/26/1936,vs.,DePaul,W,9,6,
1936,10/3/1936,vs.,Washington,W,13,7,
1936,10/10/1936,vs.,Southern California,L,6,24,
1936,10/17/1936,@,Iowa,T,0,0,
1936,10/24/1936,vs.,Northwestern,L,2,13,Homecoming
1936,10/31/1936,@,Michigan,W,9,6,
1936,11/14/1936,vs.,Ohio State,L,0,13,
1936,11/21/1936,@,Chicago,W,18,7,
1935,9/28/1935,vs.,Ohio,L,0,6,
1935,10/5/1935,vs.,Washington,W,28,6,
1935,10/12/1935,@,Southern California,W,19,0,
1935,10/26/1935,vs.,Iowa,L,0,19,
1935,11/2/1935,@,Northwestern,L,3,10,
1935,11/9/1935,vs.,Michigan,W,3,0,Homecoming
1935,11/16/1935,@,Ohio State,L,0,6,
1935,11/23/1935,vs.,Chicago,L,6,7,
1934,9/29/1934,vs.,Bradley,W,40,7,
1934,10/6/1934,@,Washington,W,12,7,
1934,10/13/1934,vs.,Ohio State,W,14,13,Homecoming
1934,10/27/1934,@,Michigan,W,7,6,
1934,11/3/1934,vs.,Army,W,7,0,
1934,11/10/1934,@,Northwestern,W,14,3,
1934,11/17/1934,@,Wisconsin,L,3,7,
1934,11/24/1934,@,Chicago,W,6,0,
1933,9/30/1933,vs.,Drake,W,13,6,
1933,10/7/1933,@,Washington,W,21,6,
1933,10/14/1933,vs.,Wisconsin,W,21,0,Homecoming
1933,10/21/1933,"Cleveland, OH",Army,L,0,6,
1933,11/4/1933,vs.,Michigan,L,6,7,
1933,11/11/1933,@,Northwestern,W,3,0,
1933,11/18/1933,vs.,Chicago,W,7,0,
1933,11/25/1933,@,Ohio State,L,6,7,
1932,10/1/1932,vs.,Coe,W,13,0,
1932,10/1/1932,vs.,Miami,W,20,7,
1932,10/8/1932,vs.,Bradley,W,20,0,
1932,10/15/1932,vs.,Northwestern,L,0,26,Homecoming
1932,10/22/1932,@,Michigan,L,0,32,
1932,10/29/1932,@,Chicago,W,13,7,
1932,11/5/1932,@,Wisconsin,L,12,20,
1932,11/12/1932,vs.,Indiana,W,18,6,
1932,11/19/1932,vs.,Ohio State,L,0,3,
1931,10/3/1931,vs.,St. Louis,W,20,6,
1931,10/10/1931,@,Purdue,L,0,7,
1931,10/17/1931,vs.,Bradley,W,20,0,
1931,10/24/1931,vs.,Michigan,L,0,35,Homecoming
1931,10/31/1931,@,Northwestern,L,6,32,
1931,11/7/1931,vs.,Wisconsin,L,6,7,
1931,11/14/1931,vs.,Chicago,L,6,13,
1931,11/21/1931,@,Ohio State,L,0,40,
1930,10/4/1930,vs.,Iowa State,W,7,0,
1930,10/11/1930,vs.,Butler,W,27,0,
1930,10/18/1930,vs.,Northwestern,L,0,32,Homecoming
1930,10/25/1930,@,Michigan,L,7,15,
1930,11/1/1930,vs.,Purdue,L,0,25,
1930,11/8/1930,"Bronx, NY",Army,L,0,13,
1930,11/15/1930,@,Chicago,W,28,0,
1930,11/22/1930,vs.,Ohio State,L,9,12,
1929,10/5/1929,vs.,Kansas,W,25,0,
1929,10/12/1929,vs.,Bradley,W,45,0,
1929,10/20/1929,@,Iowa,T,7,7,
1929,10/26/1929,vs.,Michigan,W,14,0,Homecoming
1929,11/2/1929,@,Northwestern,L,0,7,
1929,11/9/1929,vs.,Army,W,17,7,
1929,11/16/1929,vs.,Chicago,W,20,6,
1929,11/23/1929,@,Ohio State,W,27,0,
1928,10/6/1928,vs.,Bradley,W,33,6,
1928,10/13/1928,vs.,Coe,W,31,0,
1928,10/20/1928,vs.,Indiana,W,13,7,
1928,10/27/1928,vs.,Northwestern,W,6,0,Homecoming
1928,11/3/1928,@,Michigan,L,0,3,
1928,11/10/1928,@,Butler,W,14,0,
1928,11/17/1928,@,Chicago,W,40,0,
1928,11/24/1928,vs.,Ohio State,W,8,0,
1927,10/1/1927,vs.,Bradley,W,19,0,
1927,10/8/1927,vs.,Butler,W,58,0,
1927,10/15/1927,vs.,Iowa State,T,12,12,
1927,10/22/1927,@,Northwestern,W,7,6,
1927,10/29/1927,vs.,Michigan,W,14,0,Homecoming
1927,11/5/1927,@,Iowa,W,14,0,
1927,11/12/1927,vs.,Chicago,W,15,6,
1927,11/19/1927,@,Ohio State,W,13,0,
1926,10/2/1926,vs.,Coe,W,27,0,
1926,10/9/1926,vs.,Butler,W,38,7,
1926,10/16/1926,vs.,Iowa,W,13,6,Homecoming
1926,10/23/1926,@,Michigan,L,0,13,
1926,10/30/1926,vs.,Pennsylvania,W,3,0,
1926,11/6/1926,@,Chicago,W,7,0,
1926,11/13/1926,vs.,Wabash,W,27,13,
1926,11/20/1926,vs.,Ohio State,L,6,7,
1925,10/3/1925,vs.,Nebraska,L,0,14,
1925,10/10/1925,vs.,Butler,W,16,13,
1925,10/17/1925,@,Iowa,L,10,12,
1925,10/24/1925,vs.,Michigan,L,0,3,Homecoming
1925,10/31/1925,@,Pennsylvania,W,24,2,
1925,11/7/1925,vs.,Chicago,W,13,6,
1925,11/14/1925,vs.,Wabash,W,21,0,
1925,11/21/1925,@,Ohio State,W,14,9,
1924,10/4/1924,@,Nebraska,W,9,6,
1924,10/11/1924,vs.,Butler,W,40,10,
1924,10/18/1924,vs.,Michigan,W,39,14,Homecoming
1924,10/25/1924,vs.,DePauw,W,45,0,
1924,11/1/1924,vs.,Iowa,W,36,0,
1924,11/8/1924,@,Chicago,T,21,21,
1924,11/15/1924,@,Minnesota,L,7,20,
1924,11/22/1924,vs.,Ohio State,W,7,0,
1923,10/6/1923,vs.,Nebraska,W,24,7,
1923,10/13/1923,vs.,Butler,W,21,7,
1923,10/20/1923,@,Iowa,W,9,6,
1923,10/27/1923,"Chicago, IL",Northwestern,W,29,0,
1923,11/3/1923,vs.,Chicago,W,7,0,Homecoming
1923,11/10/1923,vs.,Wisconsin,W,10,0,
1923,11/17/1923,vs.,Mississippi State,W,27,0,
1923,11/24/1923,@,Ohio State,W,9,0,
1922,10/14/1922,vs.,Butler,L,7,10,
1922,10/21/1922,vs.,Iowa,L,7,8,Homecoming
1922,10/28/1922,@,Michigan,L,0,24,
1922,11/4/1922,vs.,Northwestern,W,6,3,
1922,11/11/1922,@,Wisconsin,W,3,0,
1922,11/18/1922,@,Chicago,L,0,9,
1922,11/25/1922,vs.,Ohio State,L,3,6,
1921,10/8/1921,vs.,South Dakota,W,52,0,
1921,10/15/1921,@,Iowa,L,2,14,
1921,10/22/1921,vs.,Wisconsin,L,0,20,
1921,10/29/1921,vs.,Michigan,L,0,3,
1921,11/5/1921,vs.,DePauw,W,21,0,
1921,11/12/1921,vs.,Chicago,L,6,14,Homecoming
1921,11/19/1921,@,Ohio State,W,7,0,
1920,10/9/1920,vs.,Drake,W,41,0,
1920,10/16/1920,vs.,Iowa,W,20,3,
1920,10/23/1920,@,Michigan,W,7,6,
1920,10/30/1920,vs.,Minnesota,W,17,7,Homecoming
1920,11/6/1920,@,Chicago,W,3,0,
1920,11/13/1920,@,Wisconsin,L,9,14,
1920,11/20/1920,vs.,Ohio State,L,0,7,
1919,10/11/1919,@,Purdue,W,14,7,
1919,10/18/1919,vs.,Iowa,W,9,7,
1919,10/25/1919,vs.,Wisconsin,L,10,14,
1919,11/1/1919,vs.,Chicago,W,10,0,Homecoming
1919,11/8/1919,@,Minnesota,W,10,6,
1919,11/15/1919,vs.,Michigan,W,29,7,
1919,11/22/1919,@,Ohio State,W,9,7,
1918,10/4/1918,@,Chanute Field,W,3,0,
1918,10/12/1918,vs.,Great Lakes Navy,L,0,7,
1918,10/26/1918,vs.,Chicago Naval Reserve,L,0,7,
1918,11/2/1918,@,Iowa,W,19,0,
1918,11/9/1918,@,Wisconsin,W,22,0,
1918,11/16/1918,vs.,Ohio State,W,13,0,
1918,11/23/1918,@,Chicago,W,29,0,
1917,10/6/1917,vs.,Kansas,W,22,0,
1917,10/13/1917,vs.,Oklahoma,W,44,0,
1917,10/20/1917,vs.,Wisconsin,W,7,0,Homecoming
1917,10/27/1917,vs.,Purdue,W,27,0,
1917,11/3/1917,@,Chicago,T,0,0,
1917,11/17/1917,@,Ohio State,L,0,13,
1917,11/24/1917,vs.,Minnesota,L,6,27,
1917,11/29/1917,@,Camp Funston,W,28,0,
1916,10/7/1916,vs.,Kansas,W,30,0,
1916,10/14/1916,vs.,Colgate,L,3,15,
1916,10/21/1916,vs.,Ohio State,L,6,7,
1916,10/28/1916,@,Purdue,W,14,7,
1916,11/11/1916,@,Minnesota,W,14,9,
1916,11/18/1916,vs.,Chicago,L,7,20,Homecoming
