Subject,Course,CRN,Course Title,Course Section,Sched Type,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade,Primary Instructor
ACCY,451,49130,Advanced Income Tax Problems,A3,LCD,1,8,2,0,21,0,0,0,0,0,0,0,0,0,3.32,"Davis, Jon S"
ACCY,451,54569,Advanced Income Tax Problems,B3,LCD,0,21,0,0,5,0,0,4,2,0,0,0,0,0,3.43,"Holder, Charles B"
ACCY,451,62733,Advanced Income Tax Problems,C3,LCD,0,15,0,0,8,0,0,8,3,0,0,0,0,0,3.11,"Holder, Charles B"
ACCY,451,63119,Advanced Income Tax Problems,D3,LCD,1,5,1,0,12,0,0,1,1,0,0,0,0,0,3.2,"Davis, Jon S"
ACCY,451,70659,Advanced Income Tax Problems,E3,LCD,3,9,0,0,9,2,0,2,1,0,0,0,0,0,3.36,"Davis, Jon S"
ACCY,500,49761,"Atg Measuremnt, Rpting & Cntrl",B,LCD,5,4,15,7,6,3,4,0,0,0,0,0,0,0,3.4,"Augusto Sampaio, Gerlando"
ACCY,500,67282,"Atg Measuremnt, Rpting & Cntrl",IMB,ONL,199,367,281,172,125,40,16,7,3,1,1,0,2,6,3.63,"Urcan, Oktay"
ACCY,500,56063,"Atg Measuremnt, Rpting & Cntrl",P,LCD,5,4,10,7,3,8,0,0,0,0,0,0,0,0,3.42,"Augusto Sampaio, Gerlando"
ACCY,501,29678,Accounting Analysis I A,DA1,ONL,28,31,25,24,16,3,4,1,2,0,3,4,4,2,3.34,"Augusto Sampaio, Gerlando"
ACCY,501,69435,Accounting Analysis I B,DB1,ONL,35,43,31,10,10,1,1,0,0,0,0,0,3,1,3.69,"Augusto Sampaio, Gerlando"
ACCY,502,29680,Accounting Analysis II,A4,LCD,3,23,5,1,1,0,0,0,0,0,0,0,0,0,3.9,"Schwartz, Rachel"
ACCY,502,31334,Accounting Analysis II,B4,LCD,4,22,3,1,2,1,0,0,0,0,0,0,0,0,3.85,"Schwartz, Rachel"
ACCY,502,71904,Accounting Analysis II A,DA1,ONL,10,17,10,13,11,4,1,0,0,0,0,0,0,0,3.55,"Mendoza, Scott A"
ACCY,502,71905,Accounting Analysis II B,DB1,ONL,7,16,8,8,11,9,3,3,0,0,0,0,1,0,3.3,"Mendoza, Scott A"
ACCY,502,76239,Accounting Analysis II,E4,LCD,1,17,3,4,4,0,0,0,0,0,0,0,0,0,3.74,"Schwartz, Rachel"
ACCY,503,31335,Managerial Accounting,A,LCD,4,8,9,1,1,1,0,1,1,1,0,0,0,0,3.52,"Augusto Sampaio, Gerlando"
ACCY,503,39540,Managerial Accounting,B,LCD,6,10,5,3,1,0,0,0,0,2,1,0,0,0,3.54,"Augusto Sampaio, Gerlando"
ACCY,504,59162,Auditing,B4,LCD,0,21,8,2,1,0,1,0,0,0,0,0,0,0,3.8,"Chatterton, Angel"
ACCY,504,64875,Auditing,C4,LCD,2,25,3,1,1,0,0,0,0,0,0,0,0,0,3.92,"Chatterton, Angel"
ACCY,504,70165,Auditing A,DA1,ONL,22,77,20,25,72,14,2,0,0,0,1,0,0,0,3.48,"Peecher, Mark E"
ACCY,504,70166,Auditing B,DB1,ONL,16,59,43,50,55,7,0,0,0,0,0,0,0,0,3.51,"Peecher, Mark E"
ACCY,504,76238,Auditing,E4,LCD,2,21,6,0,3,1,0,0,0,0,0,0,0,0,3.81,"Chatterton, Angel"
ACCY,505,31339,Federal Taxation,A4,LCD,5,9,3,4,7,5,0,0,0,0,0,0,0,0,3.48,"Alt, Amanda J"
ACCY,505,31341,Federal Taxation,B4,LCD,6,10,3,2,5,6,0,0,0,0,0,0,0,0,3.52,"Alt, Amanda J"
ACCY,505,54993,Federal Taxation,C4,LCD,0,20,7,7,4,2,0,0,1,0,1,0,0,0,3.55,"Hutchens, Matthew"
ACCY,505,57605,Federal Taxation,D4,LCD,0,14,8,7,5,2,1,0,0,1,0,0,0,0,3.49,"Hutchens, Matthew"
ACCY,505,69441,Federal Taxation A,DA1,ONL,35,64,45,24,36,5,5,2,0,0,0,0,6,1,3.5,"Hutchens, Matthew"
ACCY,505,69442,Federal Taxation B,DB1,ONL,30,79,33,21,25,13,5,4,1,0,0,0,2,1,3.56,"Hutchens, Matthew"
ACCY,505,70661,Federal Taxation,E4,ONL,5,4,3,5,5,2,0,0,1,0,0,0,0,0,3.43,"Alt, Amanda J"
ACCY,506,71549,Advanced Financial Reporting,DA1,ONL,8,20,8,11,4,7,4,3,0,0,2,0,0,0,3.37,"Kustanovich, Michael"
ACCY,510,49275,Financial Reporting Standards,D,LCD,3,15,0,6,7,3,0,0,0,0,0,0,0,0,3.56,"Steward, Cynthia G"
ACCY,510,61974,Financial Reporting Standards,E,LCD,5,19,0,5,2,1,1,0,0,0,0,0,0,0,3.75,"Steward, Cynthia G"
ACCY,510,62037,Financial Reporting Standards,F,LCD,9,13,0,4,4,3,2,0,0,0,0,0,0,0,3.6,"Steward, Cynthia G"
ACCY,515,46977,Auditing & Assurance Standards,A,LCD,0,6,9,11,10,3,1,0,0,0,0,0,0,0,3.35,"Zhou, Yuepin"
ACCY,515,46978,Auditing & Assurance Standards,B,LCD,0,11,6,11,6,2,0,0,0,0,0,0,0,0,3.5,"Zhou, Yuepin"
ACCY,515,54477,Auditing & Assurance Standards,C,LCD,0,7,6,11,7,1,0,0,0,0,0,0,0,1,3.45,"Zhou, Yuepin"
ACCY,517,31373,Financial Statement Analysis,A,LCD,0,14,10,2,0,0,0,0,0,0,0,0,0,0,3.82,"Hamm, Brian K"
ACCY,517,31377,Financial Statement Analysis,B,LCD,0,17,12,0,1,0,0,0,0,0,0,0,0,0,3.83,"Hamm, Brian K"
ACCY,551,31382,Corporate Income Taxation,B,LCD,0,4,8,5,3,2,0,0,0,0,0,0,0,0,3.47,"Sternburg, Thomas"
ACCY,556,54570,Tax Research,A,LCD,0,19,0,0,9,0,0,0,0,0,0,0,0,0,3.68,"Holder, Daniel E"
ACCY,556,31384,Tax Research,B,LCD,0,18,0,0,7,0,0,2,0,0,0,0,0,0,3.59,"Holder, Daniel E"
ACCY,569,71963,Data Driven Decisions in Acctg,DA1,ONL,19,21,15,5,3,1,2,2,0,0,1,0,7,0,3.33,"Guymon, Ronald N"
ACCY,570,68784,Data Analytics Foundations,AD1,ONL,0,20,20,9,2,0,0,0,0,0,0,0,0,0,3.71,"Anand, Vic"
ACCY,570,68785,Data Analytics Foundations,AD2,ONL,0,14,25,6,1,0,0,0,0,0,0,0,0,0,3.71,"Anand, Vic"
ACCY,570,71909,Data Analytics Foundations,AD7,ONL,6,23,2,2,0,0,0,0,0,0,0,0,0,0,3.94,"Herbold, T J"
ACCY,570,70666,Data Analytics Foundations,AO6,ONL,3,24,16,4,1,0,0,0,0,0,0,0,0,0,3.81,"Anand, Vic"
ACCY,578,73609,ACCY Analytics Appl - A,AAA,ONL,36,5,0,1,0,0,0,0,0,0,0,0,1,0,3.89,"Lu, Zhenzhong L"
ACCY,578,73610,ACCY Analytics Appl - B,AAB,ONL,33,0,0,1,0,0,0,0,1,0,0,0,0,0,3.91,"Nekrasz, Frank"
ACCY,593,75945,Financial Statement Analysis,IMB,ONL,1,71,13,8,4,3,2,0,0,0,0,0,0,0,3.79,"Hamm, Brian K"
ACE,100,36724,Intro to Applied Micro,AD1,DIS,5,6,8,4,8,1,0,1,0,0,0,0,0,1,3.5,"Hadunka, Protensia"
ACE,100,36726,Intro to Applied Micro,AD2,DIS,4,12,7,5,0,1,1,0,0,0,2,0,0,0,3.54,"Hadunka, Protensia"
ACE,100,36732,Intro to Applied Micro,AD5,DIS,1,9,4,2,8,3,0,1,0,1,0,0,2,0,3.12,"Hadunka, Protensia"
ACE,100,36734,Intro to Applied Micro,AD6,DIS,1,7,6,5,3,3,3,2,0,0,0,0,1,0,3.18,"Cai, Chang"
ACE,100,36735,Intro to Applied Micro,AD7,DIS,1,12,8,4,3,2,3,0,0,0,0,0,0,0,3.52,"Cai, Chang"
ACE,100,56843,Intro to Applied Micro,AD8,DIS,1,8,6,4,4,1,2,3,1,1,0,1,1,0,3.04,"Cai, Chang"
ACE,161,39708,Microcomputer Applications,A1,LBD,0,19,0,0,8,0,0,3,0,0,0,0,0,0,3.53,"Burnett, Meghan L"
ACE,161,36751,Microcomputer Applications,L2,ONL,0,34,0,0,10,0,0,9,0,0,1,0,2,1,3.3,"Burnett, Meghan L"
ACE,161,36742,Microcomputer Applications,R,OLB,0,29,0,0,8,0,0,5,0,0,0,0,5,0,3.19,"Lo, Alexander C"
ACE,161,36744,Microcomputer Applications,T,OLB,0,14,0,0,6,0,0,3,0,0,0,0,2,0,3.2,"Lo, Alexander C"
ACE,199,61499,Digital Mktg and Social Media,DMS,ONL,0,26,0,0,8,0,0,2,0,0,2,0,0,0,3.53,"Lo, Alexander C"
ACE,199,58282,Negotiation,NPS,ONL,61,29,6,7,5,2,2,2,0,0,0,0,5,1,3.65,"Stoddard, Paul B"
ACE,199,58547,Introduction to Sales,SPS,ONL,8,27,4,0,2,0,0,0,0,0,1,0,0,0,3.85,"Irani, Kaizad R"
ACE,203,73756,Intro to Public Policy & Law,FAP,LCD,3,9,13,15,5,0,0,0,0,0,0,0,0,0,3.57,"Coppess, Jonathan W"
ACE,210,61563,Environmental Economics,AL1,LEC,19,26,21,9,25,8,8,15,1,0,0,0,0,2,3.29,"Christensen, Peter"
ACE,222,29698,Agricultural Marketing,S,ONL,33,36,14,8,8,6,3,2,1,0,2,2,4,0,3.45,"Stoddard, Paul B"
ACE,240,51717,Personal Financial Planning,AL1,LEC,5,19,12,13,12,13,9,10,3,4,3,2,4,1,2.84,"Stoddard, Paul B"
ACE,240,74876,Personal Financial Planning,ELE,Onl,168,66,0,0,43,0,0,18,0,0,4,0,16,1,3.51,"Lemoine, Craig"
ACE,240,69393,Personal Financial Planning,ONL,ONL,96,39,0,0,22,0,0,5,0,0,5,0,6,1,3.59,"Lemoine, Craig"
ACE,251,49101,The World Food Economy,AL1,OLC,31,118,39,22,38,12,14,3,3,3,4,1,9,0,3.4,"Michelson, Hope C"
ACE,261,31419,Applied Statistical Methods,AL1,LEC,3,6,2,1,3,2,2,3,1,0,0,0,0,0,3.19,"Gundersen, Lisa C"
ACE,262,72898,App Stat Mthds & Data AnlytcsI,AS1,LEC,18,31,16,5,21,8,2,7,3,8,3,0,10,0,2.98,"Sellars, Sarah C"
ACE,264,72900,App Stat Mthds & Data Anlytcs2,AS2,LCD,5,9,8,8,15,6,4,8,2,0,0,0,3,2,2.97,"Janzen, Joseph P"
ACE,300,72901,Interm. Applied Microeconomics,AL1,LEC,6,8,7,5,17,16,8,20,11,1,7,3,2,0,2.52,"Endres, Renata"
ACE,310,36772,Natural Resource Economics,AL1,LCD,11,4,4,2,4,2,2,6,1,2,3,0,3,0,2.79,"Endres, Renata"
ACE,341,65063,Issues in Agribus Mkts & Mgmt,AMM,LCD,20,22,7,3,8,3,1,4,0,0,1,0,2,0,3.48,"Karplus, Lauren E"
ACE,341,65167,Issues in Cons Econ & Finance,CEF,LCD,21,30,6,2,7,1,0,1,0,0,1,1,0,0,3.71,"Helton, Caroline A"
ACE,341,65064,Contemp Issue Comm Fin Plng,CFP,LCD,9,34,5,5,5,1,1,3,2,0,4,0,1,0,3.43,"Allen, Sharon C"
ACE,341,44207,Issues in AgAccy and FinAg,FAA,LCD,2,36,2,1,3,0,2,1,1,0,0,0,0,0,3.75,"Finnegan, Ann B"
ACE,345,53592,Finan Decision Indiv Sm Bus,X,LCD,0,78,10,16,14,6,2,2,2,3,2,0,2,0,3.49,"Paulson, Nicholas D"
ACE,346,60156,Tax Policy and Finan Planning,A,LCD,30,22,12,3,9,8,5,3,6,1,1,1,0,1,3.38,"Breen, John"
ACE,398,52115,Risk Mngmt in Personal Fin Pla,RM,ONL,2,8,12,8,12,3,3,2,1,0,0,0,9,0,2.79,"Sanchez, Donovan"
ACE,406,48924,Environmental Law,GR,LCD,0,16,6,1,11,6,1,7,1,0,4,0,3,0,2.87,"Endres, A B"
ACE,411,62829,Environment and Development,B,LCD,8,13,6,3,6,2,3,0,1,0,1,0,2,1,3.31,"Janzen, Sarah A"
ACE,427,64899,Commodity Price Analysis,M,LCD,11,6,4,3,4,8,13,0,4,2,3,2,0,0,2.83,"Irwin, Scott H"
ACE,428,43123,Commodity Futures and Options,T,LCD,0,5,2,2,2,5,4,5,0,1,0,0,1,0,2.74,"Robe, Michel A"
ACE,435,29710,Global Agribusiness Management,UG,ONL,100,6,7,7,5,2,1,0,1,0,0,0,3,0,3.77,"Irani, Kaizad R"
ACE,444,51728,Finan Serv & Invest Plan,UG,ONL,18,10,0,0,12,0,0,6,0,0,4,0,3,1,3.09,"Lemoine, Craig"
ACE,445,47126,Int Personal Fin & Estate Plan,S,ONL,9,39,0,0,40,0,1,14,0,0,1,0,7,0,3.09,"Lemoine, Craig"
ACE,455,56174,Intl Trade in Food and Agr,M,LCD,5,11,9,6,9,4,7,5,2,0,0,0,1,1,3.12,"Ridley, William C"
ACE,474,73276,Econ of Consumption,UG,LCD,1,3,1,0,5,2,6,2,2,3,1,0,2,0,2.37,"Lyons, Angela C"
ACE,476,36268,Behavioral Economics,UG,LCD,0,5,4,2,4,4,4,2,4,1,1,0,1,0,2.68,"Lyons, Angela C"
ACES,101,51577,Contemporary Issues in ACES,AD1,DIS,10,7,3,1,1,0,0,0,0,0,0,0,0,0,3.88,"Gist, Toni M"
ACES,101,51579,Contemporary Issues in ACES,ADA,DIS,8,11,2,1,0,0,1,0,0,0,0,0,1,0,3.71,"Shumway, Trent A"
ACES,101,51580,Contemporary Issues in ACES,ADB,DIS,10,8,6,2,0,0,0,1,0,1,0,0,0,0,3.71,"Karplus, Lauren E"
ACES,101,51586,Contemporary Issues in ACES,ADH,DIS,16,6,2,0,1,0,1,0,0,0,0,0,1,0,3.73,"Larson, Eric"
ACES,101,51587,Contemporary Issues in ACES,ADI,DIS,18,6,1,1,0,2,1,0,0,0,0,0,0,0,3.82,"Breen, John"
ACES,101,51588,Contemporary Issues in ACES,ADJ,DIS,12,6,5,0,0,0,1,0,0,0,0,0,0,0,3.86,"Miller, Carli J"
ACES,101,51590,Contemporary Issues in ACES,ADL,DIS,7,9,1,2,0,0,1,0,2,0,0,0,0,0,3.64,"Jones-Hamlow, Katelyn A"
ACES,101,51592,Contemporary Issues in ACES,ADN,DIS,5,9,1,2,0,1,2,0,1,1,0,1,0,0,3.36,"Schneider, Alicia M"
ACES,101,51593,Contemporary Issues in ACES,ADO,DIS,13,8,1,0,0,0,0,1,0,0,0,0,0,0,3.9,"Emmert, Jason L"
ACES,101,51594,Contemporary Issues in ACES,ADP,DIS,10,3,1,2,1,0,0,2,1,0,1,0,0,0,3.43,"Schneider, Alicia M"
ACES,101,51596,Contemporary Issues in ACES,ADR,DIS,10,8,3,2,2,1,1,0,0,1,1,0,0,0,3.55,"Shumway, Trent A"
ACES,101,51600,Contemporary Issues in ACES,ADV,DIS,7,4,2,5,2,1,0,0,0,2,1,0,0,0,3.35,"Honegger, Logan J"
ACES,179,61977,History of Ag in IL Since 1860,A,ONL,1,10,3,3,7,1,1,3,3,0,0,1,2,1,2.93,"Reid, Debra A"
ACES,179,61978,History of Ag in IL Since 1860,B,ONL,1,8,5,2,3,0,1,2,1,1,0,1,3,1,2.86,"Reid, Debra A"
ADV,150,61084,Introduction to Advertising,B,LCD,31,17,2,0,2,0,0,0,0,0,0,0,2,0,3.8,"Hall, Steven R"
ADV,150,61085,Introduction to Advertising,C,LCD,132,110,2,1,16,0,0,2,0,1,1,0,16,0,3.68,"Hall, Steven R"
ADV,270,71553,Principles of Sales,A,ONL,28,9,6,10,3,1,1,3,3,2,1,1,5,0,3.19,"Clifton, Dionne J"
ADV,281,71431,Advertising Research Methods,AB3,LAB,2,3,2,5,7,1,2,1,3,1,0,0,0,0,2.99,"Vargas, Patrick T"
ADV,281,71432,Advertising Research Methods,AB4,LAB,4,1,1,3,4,4,1,0,5,1,2,1,1,0,2.54,"Vargas, Patrick T"
ADV,283,70087,Advertising and Brand Strategy,A,LEC,1,18,6,3,0,1,0,0,0,0,0,0,1,0,3.69,"Mabry-Flynn, Amanda D"
ADV,283,65173,Advertising and Brand Strategy,B,LEC,15,8,2,3,1,0,0,0,0,0,0,0,0,0,3.87,"Fisher, Jacob T"
ADV,283,62716,Advertising and Brand Strategy,C,LEC,3,14,5,1,4,2,0,0,0,0,0,0,0,0,3.69,"Hitchon, Jacqueline C"
ADV,283,64451,Advertising and Brand Strategy,D,LEC,5,12,8,4,0,0,0,1,0,0,0,0,0,0,3.76,"Hitchon, Jacqueline C"
ADV,284,65174,Consumer Insight,AD1,DIS,0,5,7,7,0,2,1,4,1,0,0,0,0,0,3.2,"Duff, Brittany"
ADV,284,69335,Consumer Insight,AD2,DIS,4,3,9,3,1,4,1,0,1,0,0,0,0,0,3.41,"Duff, Brittany"
ADV,284,71433,Consumer Insight,AD3,DIS,2,7,6,1,3,3,2,1,1,0,1,0,0,0,3.25,"Duff, Brittany"
ADV,284,71435,Consumer Insight,AD4,DIS,5,7,7,1,1,1,1,2,1,0,0,0,0,0,3.49,"Duff, Brittany"
ADV,290,75264,Becoming an Influencer,INF,LCD,5,26,4,1,7,1,1,2,0,2,0,0,1,1,3.49,"Wilson, Carrie A"
ADV,290,68906,Sports Public Relations,SPR,LCD,7,4,2,2,3,0,1,2,2,0,0,0,1,0,3.19,"Warren, Stephen M"
ADV,305,69167,Digital ADV Content,A,LCD,28,21,3,1,3,1,0,0,0,1,0,0,2,0,3.72,"Fisher, Jacob T"
ADV,310,57971,Intro to Public Relations,A,LCD,5,40,10,6,19,1,1,5,2,3,1,0,2,0,3.34,"Wilson, Carrie A"
ADV,311,66827,Classic Campaigns,A,LCD,0,2,3,4,7,3,2,1,0,1,2,0,2,0,2.64,"Chambers, Jason P"
ADV,320,71554,Sales Management,ONL,ONL,41,3,6,5,2,4,1,3,1,4,0,2,5,1,3.22,"Clifton, Dionne J"
ADV,370,71555,Sales and the Consumer,ONL,ONL,65,9,4,9,8,5,8,1,0,3,1,2,15,0,3.12,"Clifton, Dionne J"
ADV,390,61087,Content Creation,A,LCD,0,19,23,18,18,18,15,1,0,1,0,0,1,0,3.16,"Sheldon, Peter S"
ADV,393,61088,Advertising and Society,A,LCD,4,15,11,3,6,5,4,5,1,0,1,0,2,0,3.15,"Nelson, Michelle R"
