Subject,Course,CRN,Course Title,Section,Sched Type,Term,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade,Primary Instructor
ACCY,405,52616,Assurance and Attestation,AE5,OLC,120211,0,11,6,4,2,3,1,0,1,0,0,0,0,0,3.48,"Chatterton, Angel"
ACCY,405,60014,Assurance and Attestation,AE6,OLC,120211,0,7,3,3,3,6,2,1,0,1,1,0,0,0,3.07,"Ciconte, William"
ACCY,405,71388,Assurance and Attestation,AE7,OLC,120211,0,10,6,7,3,2,0,0,1,0,0,0,0,0,3.49,"Ciconte, William"
ACCY,410,60044,Advanced Financial Reporting,A3,OLC,120211,3,9,2,4,12,3,2,4,0,0,0,0,0,0,3.22,"Chen, Ciao-Wei"
ACCY,410,60045,Advanced Financial Reporting,B3,OLC,120211,4,10,6,2,7,4,1,4,0,0,0,0,0,0,3.31,"Kustanovich, Michael"
ACCY,410,61733,Advanced Financial Reporting,C3,OLC,120211,6,10,2,7,8,2,1,3,0,0,3,1,0,0,3.16,"Chen, Ciao-Wei"
ACCY,410,61734,Advanced Financial Reporting,D3,OLC,120211,5,6,0,5,6,2,1,4,0,2,1,0,0,0,3.05,"Chen, Ciao-Wei"
ACCY,410,61759,Advanced Financial Reporting,G3,OLC,120211,7,5,3,2,7,2,1,4,0,1,1,0,0,0,3.17,"Steward, Cynthia G"
ACCY,451,61737,Advanced Income Tax Problems,A3,OLC,120211,0,22,0,0,12,0,0,5,0,0,0,0,0,0,3.45,"Holder, Daniel E"
ACCY,451,61741,Advanced Income Tax Problems,C3,OLC,120211,4,6,3,3,3,1,0,2,2,0,0,0,0,0,3.41,"Alt, Amanda J"
ACCY,451,65160,Advanced Income Tax Problems,E3,LCD,120211,0,22,0,0,3,0,0,6,0,0,0,0,0,0,3.54,"Holder, Charles B"
ACCY,500,67786,"Atg Measuremnt, Rpting & Cntrl",IMB,ONL,120211,158,202,122,109,86,29,15,4,3,0,0,0,3,0,3.6,"Urcan, Oktay"
ACCY,501,68872,Accounting Analysis I A,DA1,ONL,120211,24,24,15,10,11,8,1,1,1,0,0,0,3,0,3.48,"Augusto Sampaio, Gerlando"
ACCY,501,72094,Accounting Analysis I,DB2,ONL,120211,31,30,18,7,6,0,1,0,0,0,0,0,5,0,3.61,"Augusto Sampaio, Gerlando"
ACCY,502,67590,Accounting Analysis II A,DA1,ONL,120211,7,37,57,38,30,24,1,3,0,0,0,0,1,0,3.4,"Ibrahim, Adel Nematallah"
ACCY,502,72516,Accounting Analysis II-B,DB2,ONL,120211,4,66,31,18,30,29,8,4,1,0,0,0,6,0,3.3,"Ibrahim, Adel Nematallah"
ACCY,502,71523,Accounting Analysis II,MSA,OLC,120211,4,13,1,3,4,1,4,0,0,0,0,0,0,0,3.52,"Schwartz, Rachel"
ACCY,503,44637,Managerial Accounting,A,OLC,120211,0,7,1,4,5,4,3,1,0,0,0,0,0,0,3.19,"Herbold, T J"
ACCY,503,67610,Managerial Accounting A,DA1,ONL,120211,41,63,39,27,14,6,3,1,0,1,0,0,0,0,3.68,"Hecht, Gary W"
ACCY,503,67611,Managerial Accounting B,DB2,ONL,120211,29,108,26,15,14,2,1,1,4,0,1,0,0,0,3.74,"Hecht, Gary W"
ACCY,503,69063,Managerial Accounting,IMB,ONL,120211,42,189,183,84,148,49,13,3,1,0,0,0,4,0,3.48,"Hecht, Gary W"
ACCY,503,67612,Managerial Accounting A,NA1,ONL,120211,1,7,4,5,2,2,1,0,0,0,0,0,0,0,3.5,"Hecht, Gary W"
ACCY,503,67613,Managerial Accounting B,NB1,ONL,120211,2,9,2,3,4,1,0,0,0,0,0,0,0,0,3.62,"Hecht, Gary W"
ACCY,507,67722,Taxation of Bus Entities A,DA1,ONL,120211,37,42,6,13,2,2,2,1,1,2,0,0,0,0,3.74,"Donohoe, Michael P"
ACCY,507,67725,Taxation of Bus Entities B,DB2,ONL,120211,34,48,7,3,1,1,5,2,1,2,1,0,1,0,3.68,"Donohoe, Michael P"
ACCY,510,46890,Financial Reporting Standards,D,OLC,120211,2,17,8,4,0,0,0,0,0,0,0,0,0,0,3.83,"Hepp, John"
ACCY,512,30434,Data Analytics for Mgmt Acctg,A,OLC,120211,0,14,6,4,2,2,1,0,0,0,0,0,0,0,3.62,"Koo, Seung Hyun"
ACCY,512,30436,Data Analytics for Mgmt Acctg,B,OLC,120211,0,10,2,4,2,3,0,5,1,0,0,0,0,0,3.2,"Koo, Seung Hyun"
ACCY,515,48423,Auditing & Assurance Standards,C,OLC,120211,0,8,7,7,3,1,2,1,0,0,0,0,0,0,3.43,"Williams, Devin J"
ACCY,517,30428,Financial Statement Analysis,A,OLC,120211,9,15,4,0,1,0,0,0,0,0,0,0,0,0,3.92,"Li, Yue"
ACCY,517,30431,Financial Statement Analysis,B,LCD,120211,0,12,10,2,1,0,1,0,0,0,0,0,0,0,3.72,"Hamm, Brian K"
ACCY,517,61747,Financial Statement Analysis,E,OLC,120211,8,13,4,0,1,1,0,0,0,0,0,0,0,0,3.86,"Li, Yue"
ACCY,552,30438,Partnership Income Taxation,A,OLC,120211,1,4,7,5,5,0,0,0,0,0,0,0,0,0,3.52,"Sternburg, Thomas"
ACCY,552,30440,Partnership Income Taxation,B,OLC,120211,0,12,5,4,4,0,0,0,0,0,0,0,0,0,3.67,"Sternburg, Thomas"
ACCY,570,71680,Data Analytics Foundations,A,ONL,120211,9,15,2,0,1,2,0,0,0,0,0,0,0,0,3.85,"Herbold, T J"
ACCY,571,68538,Stat Analyses for Accountancy,A,OLC,120211,3,20,2,0,2,0,0,0,0,1,0,0,0,0,3.81,"Brunner, Robert J"
ACCY,574,70515,Risk Management and Innovation,A,OLC,120211,0,34,0,2,0,1,0,1,0,0,0,0,0,0,3.88,"Leiby, Justin"
ACCY,574,70516,Risk Management and Innovation,B,OLC,120211,0,25,3,1,4,0,0,0,0,0,0,0,0,0,3.83,"Leiby, Justin"
ACCY,575,64806,Data Analytics Apps in ACCY,A,OLC,120211,2,8,11,7,1,0,0,0,0,0,0,0,0,0,3.68,"Zhu, Wei"
ACCY,575,67001,Data Analytics Apps in ACCY,B,OLC,120211,1,17,9,2,2,0,0,0,0,0,0,0,0,0,3.8,"Zhu, Wei"
ACCY,575,67002,Data Analytics Apps in ACCY,C,OLC,120211,1,17,8,5,1,0,0,1,0,0,0,0,0,0,3.73,"Zhu, Wei"
ACCY,575,66492,Data Analytics Apps in ACCY,E,OLC,120211,8,10,10,3,0,0,0,0,0,1,0,0,0,0,3.75,"Penn, Michael W"
ACCY,575,70106,Data Analytics Apps in ACCY,G,OLC,120211,3,16,4,3,1,0,1,0,1,0,0,0,0,0,3.71,"Penn, Michael W"
ACCY,575,70206,Data Analytics Apps in ACCY,H,OLC,120211,17,8,1,0,1,1,0,0,0,0,0,1,0,0,3.79,"Penn, Michael W"
ACCY,576,70683,Data Preparation for Accting,DA1,ONL,120211,54,8,2,2,1,2,0,1,0,0,0,0,2,0,3.78,"Guymon, Ronald N"
ACCY,577,72633,Machine Learning for Accting,DB2,ONL,120211,22,20,16,2,1,1,0,0,0,0,0,0,0,0,3.86,"Lu, Zhenzhong L"
ACE,161,30504,Microcomputer Applications,C2,LBD,120211,0,14,0,0,2,0,0,3,0,0,1,0,1,0,3.29,"Burnett, Meghan L"
ACE,161,30513,Microcomputer Applications,N2,OLB,120211,0,31,0,0,19,0,0,8,0,0,1,0,3,0,3.19,"Burnett, Meghan L"
ACE,161,30493,Microcomputer Applications,R,OLB,120211,0,39,0,0,12,0,0,2,0,0,0,0,2,0,3.56,"Lo, Alexander C"
ACE,161,30494,Microcomputer Applications,T,OLB,120211,0,23,0,0,9,0,0,6,0,0,3,0,1,0,3.19,"Lo, Alexander C"
ACE,199,48181,Digital Mktg and Social Media,DMS,ONL,120211,0,26,0,0,16,0,0,3,0,0,1,0,0,0,3.46,"Lo, Alexander C"
ACE,199,71962,Negotiation,NPS,ONL,120211,79,22,11,1,3,0,3,1,0,0,0,0,4,0,3.76,"Stoddard, Paul B"
ACE,210,30528,Environmental Economics,AL1,OLC,120211,9,16,16,5,10,15,6,8,8,4,4,3,6,0,2.73,"Gramig, Benjamin"
ACE,231,55458,Food and Agribusiness Mgt,T,ONL,120211,45,27,13,7,8,3,5,3,1,1,2,1,8,0,3.34,"Stoddard, Paul B"
ACE,232,30577,Farm Management,S,ONL,120211,28,15,10,0,1,2,1,0,1,1,3,1,3,0,3.42,"Stoddard, Paul B"
ACE,240,71275,Personal Financial Planning,COV,ONL,120211,187,50,0,0,24,0,0,18,0,0,2,0,17,0,3.55,"Lemoine, Craig"
ACE,240,55444,Personal Financial Planning,ONL,ONL,120211,169,40,0,1,17,0,1,22,0,0,0,0,6,0,3.66,"Lemoine, Craig"
ACE,251,39440,The World Food Economy,AL1,OLC,120211,0,25,22,14,13,9,10,5,4,2,4,0,8,0,2.91,"Gundersen, Craig"
ACE,254,44225,Economic Systems in Africa,D,ONL,120211,3,7,9,9,6,3,1,0,1,2,0,1,0,0,3.25,"Herrera Almanza, Catalina"
ACE,255,67437,Econ of Food & Enviro Justice,AL1,OLC,120211,127,26,17,4,6,2,1,0,2,3,1,0,2,0,3.78,"Ando, Amy W"
ACE,262,70716,App Stat Mthds & Data AnlytcsI,AS1,ONL,120211,2,8,6,6,5,4,4,3,3,0,2,1,4,0,2.72,"Crost, Benjamin"
ACE,264,70717,App Stat Mthds & Data Anlytcs2,AS2,ONL,120211,2,6,14,12,8,11,12,8,9,1,2,3,2,0,2.68,"Dall'Erba, Sandy"
ACE,270,30581,Consumer Economics,E,OLC,120211,0,28,25,9,16,9,4,2,1,1,0,0,3,0,3.29,"Gundersen, Craig"
ACE,300,70714,Interm. Applied Microeconomics,AL1,OLC,120211,22,43,0,11,23,0,6,5,0,4,1,0,2,0,3.38,"Anderson, Patrese N"
ACE,306,71840,Food Law,P,ONL,120211,3,8,8,5,6,2,2,3,3,2,1,1,1,0,2.96,"Endres, A B"
ACE,310,60459,Natural Resource Economics,AL1,OLC,120211,7,19,5,6,2,0,0,1,0,0,0,0,1,0,3.67,"Brazee, Richard J"
ACE,335,68043,Food Marketing and Behavior,FMB,ONL,120211,4,14,6,3,6,2,0,0,0,0,0,0,0,0,3.64,"Ellison, Brenna"
ACE,341,64483,Issues&Careers in Applied Econ,CP,ONL,120211,5,15,1,1,6,1,0,3,0,0,1,0,2,0,3.28,"Karplus, Lauren E"
ACE,360,53547,Spreadsheet Models & Applic,B,ONL,120211,7,11,0,0,3,0,0,1,0,0,0,0,0,0,3.77,"Campbell, William D"
ACE,360,69674,Spreadsheet Models & Applic,XL,ONL,120211,7,4,1,3,7,0,1,2,0,0,1,1,3,0,2.89,"Campbell, William D"
ACE,398,58960,Financial Planning Technologie,TCH,ONL,120211,3,45,0,0,0,0,0,0,0,0,0,0,2,0,3.84,"Lemoine, Craig"
ACE,410,70335,Energy Economics,GR,ONL,120211,1,5,3,3,2,5,3,1,0,0,0,0,1,0,3.07,"Myers, Erica"
ACE,427,30592,Commodity Price Analysis,C,ONL,120211,7,7,6,6,9,6,2,7,0,2,0,0,0,0,3.12,"Janzen, Joseph P"
ACE,428,57692,Commodity Futures and Options,E,ONL,120211,24,7,5,3,2,0,0,4,0,1,1,1,0,0,3.53,"Tremacoldi Ross, Pedro"
ACE,430,43567,Food Marketing,S,ONL,120211,5,13,7,7,9,0,5,4,2,0,4,0,0,0,3.12,"Goldsmith, Peter D"
ACE,431,30593,Agri-food Strategic Management,G,ONL,120211,2,9,11,4,3,4,1,2,0,0,0,0,0,0,3.44,"Moss, LeeAnn E"
ACE,435,58953,Global Agribusiness Management,OLG,OLC,120211,1,28,21,9,19,0,0,5,0,1,3,0,4,0,3.23,"Schnitkey, Gary D"
ACE,440,55460,Finan Plan for Professionals,UG,ONL,120211,1,13,10,5,19,3,0,0,3,0,0,0,1,0,3.26,"Allen, Sharon C"
ACE,444,71124,Finan Serv & Invest Plan,ONL,OLC,120211,3,16,3,5,16,0,4,3,0,1,2,0,1,0,3.15,"Sherrick, Bruce J"
ACE,444,55323,Finan Serv & Invest Plan,P,LCD,120211,5,10,2,1,7,0,1,2,0,0,4,0,0,0,3.19,"Sherrick, Bruce J"
ACE,446,49906,Modeling App's Finan Plan,GR,ONL,120211,3,13,0,3,8,0,1,3,0,0,0,0,0,1,3.43,"Sherrick, Bruce J"
ACE,449,52915,Retirement & Benefit Planning,UG,ONL,120211,16,11,10,13,12,1,1,3,3,0,1,1,1,0,3.31,"Xu, Yilan"
ACE,451,49908,Agriculture in Intl Dev,GR,ONL,120211,4,8,4,10,0,1,3,2,0,0,1,0,0,0,3.35,"McNamara, Paul E"
ACE,456,45927,Agr and Food Policies,GR,ONL,120211,0,8,0,3,5,0,2,7,0,0,4,0,1,0,2.66,"Hutchins, Jared P"
ACE,474,30604,Econ of Consumption,S,ONL,120211,12,13,5,5,6,4,3,2,0,0,0,0,1,0,3.42,"Xu, Yilan"
ACE,476,62223,Behavioral Economics,UG,ONL,120211,2,9,11,5,2,1,0,2,0,0,1,0,1,0,3.39,"Herrera Almanza, Catalina"
ACE,592,30664,Data Science for Applied Econo,SAE,ONL,120211,0,8,12,4,7,0,0,0,0,0,0,0,0,0,3.56,"Hutchins, Jared P"
ACES,102,63906,Intro Sustainable Food Systems,LR,LCD,120211,28,11,1,1,3,0,0,1,0,0,0,0,3,0,3.63,"Ball, Anna L"
ACES,179,73199,History of Ag in IL Since 1860,DAR,ONL,120211,9,15,2,4,1,0,1,0,0,0,0,0,2,0,3.59,"Reid, Debra A"
ADV,150,60077,Introduction to Advertising,A,ONL,120211,117,61,0,3,20,2,1,4,0,0,0,0,13,0,3.61,"Hall, Steven R"
ADV,270,70232,Principles of Sales,A,ONL,120211,31,9,3,3,2,4,5,4,0,1,0,1,1,0,3.43,"Clifton, Dionne J"
ADV,281,68850,Advertising Research Methods,D1,OD,120211,1,14,1,1,9,2,0,1,0,0,1,0,0,0,3.41,"Shabalina, Olga I"
ADV,281,68854,Advertising Research Methods,D3,OD,120211,0,9,1,0,13,0,1,4,0,0,2,0,0,0,3.03,"Lee, Seo Yoon"
ADV,281,68855,Advertising Research Methods,D4,OD,120211,0,13,1,1,12,1,0,2,0,0,0,0,0,0,3.39,"Lee, Seo Yoon"
ADV,281,68856,Advertising Research Methods,D5,OD,120211,0,9,1,2,9,1,0,6,0,0,0,0,2,0,2.93,"Shabalina, Olga I"
ADV,283,60080,Advertising and Brand Strategy,A,ONL,120211,3,9,8,0,3,1,1,0,0,0,1,0,1,0,3.42,"Hitchon, Jacqueline C"
ADV,283,60081,Advertising and Brand Strategy,B,ONL,120211,0,13,8,3,3,1,0,0,0,0,0,0,0,0,3.68,"Mabry-Flynn, Amanda D"
ADV,283,61736,Advertising and Brand Strategy,C,ONL,120211,7,6,9,3,1,0,0,0,0,0,0,0,1,0,3.63,"Hitchon, Jacqueline C"
ADV,283,70769,Advertising and Brand Strategy,D,ONL,120211,1,8,5,1,3,2,0,0,1,0,0,0,0,0,3.51,"Fisher, Jacob T"
ADV,284,68858,Consumer Insight,D1,OD,120211,0,5,11,1,3,1,1,0,1,1,0,2,0,0,3.16,"Pham, Giang V"
ADV,284,68859,Consumer Insight,D2,DIS,120211,0,7,10,2,3,3,0,0,0,0,0,0,0,0,3.53,"Pham, Giang V"
ADV,284,68860,Consumer Insight,D3,OD,120211,0,10,7,4,2,2,0,1,1,0,0,0,0,0,3.48,"Liu, Weizi"
ADV,284,68865,Consumer Insight,D4,OD,120211,0,7,7,3,5,1,1,2,0,0,1,0,0,0,3.28,"Liu, Weizi"
ADV,290,67034,Sports PR,SPR,ONL,120211,0,26,3,1,0,0,0,0,0,0,0,0,0,0,3.94,"Raquel, Steve A"
ADV,305,67033,Digital ADV Content,A,ONL,120211,21,39,7,4,4,2,0,1,1,0,0,0,1,0,3.75,"Fisher, Jacob T"
ADV,310,54936,Intro to Public Relations,A,ONL,120211,11,7,8,4,10,3,0,7,6,0,1,0,6,0,2.82,"Wirtz, John"
ADV,311,65258,Classic Campaigns,A,ONL,120211,0,18,13,5,8,6,3,1,1,0,0,0,0,0,3.4,"Chambers, Jason P"
ADV,320,70233,Sales Management,A,ONL,120211,22,18,12,8,3,0,4,2,2,0,3,1,2,0,3.38,"Clifton, Dionne J"
ADV,350,62664,Writing for Public Relations,C,ONL,120211,21,8,0,1,0,0,0,0,0,0,0,0,0,0,3.98,"Peacock, Marisa C"
ADV,370,70234,Sales and the Consumer,A,ONL,120211,39,18,11,9,1,6,2,3,1,2,2,1,9,0,3.22,"Clifton, Dionne J"
ADV,390,60085,Content Creation,A,ONL,120211,0,27,19,20,37,11,8,5,0,1,0,0,1,0,3.21,"Sheldon, Peter S"
ADV,400,48956,NSAC Campaign,NSR,OLC,120211,0,24,3,1,0,0,0,0,0,0,0,0,0,0,3.94,"Duff, Brittany"
ADV,409,68732,Media Entrepreneurship,A,ONL,120211,5,16,0,1,0,0,0,0,0,0,0,0,0,0,3.97,"Kasdan, Terry P"
ADV,410,50144,Public Relations Strategies,A,ONL,120211,8,5,3,3,0,2,0,0,0,0,0,0,0,0,3.73,"Oh, Sanghwa"
ADV,410,39501,Public Relations Strategies,B,ONL,120211,20,2,0,0,2,0,0,0,0,0,0,0,0,0,3.92,"Wirtz, John"
ADV,460,71822,Innovation in Advertising,A,ONL,120211,13,17,4,4,0,4,1,1,0,0,1,0,2,0,3.49,"Ham, Chang Dae"
ADV,460,60087,Innovation in Advertising,D,ONL,120211,10,18,4,3,3,3,2,2,1,0,0,0,0,0,3.57,"Ham, Chang Dae"
ADV,460,61526,Innovation in Advertising,E,ONL,120211,9,10,5,2,2,0,0,1,0,0,1,0,0,0,3.67,"Maslowska, Ewa H"
ADV,483,57841,Audience Analysis,C,ONL,120211,4,18,4,6,8,1,1,0,0,0,0,0,0,0,3.61,"Taneja, Harsh"
ADV,483,61524,Audience Analysis,D,ONL,120211,0,13,19,4,4,1,0,0,0,0,0,0,0,0,3.65,"Taneja, Harsh"
ADV,483,68912,Audience Analysis,E,ONL,120211,0,11,14,8,5,3,1,0,0,0,0,0,0,0,3.51,"Sar, Sela"
ADV,490,63850,Social Media Analytics,SMA,ONL,120211,11,13,1,0,0,0,0,1,1,0,0,0,0,0,3.83,"Vance, Nickolas P"
