Subject,Course,CRN,Course Title,Course Section,Sched Type,Term,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade,Primary Instructor
ACCY,303,30278,Atg Institutions and Reg,AE6,LCD,120231,0,8,6,2,3,1,1,0,0,1,1,1,0,0,3.24,"Schwartz, Rachel"
ACCY,303,46358,Atg Institutions and Reg,AE7,LCD,120231,3,6,1,5,5,3,0,2,0,0,0,0,0,0,3.33,"Pachera, Susan"
ACCY,304,30288,Accounting Control Systems,AE2,LCD,120231,1,10,5,1,8,0,0,0,1,0,0,0,0,0,3.51,"Kink, Dawn M"
ACCY,304,30291,Accounting Control Systems,AE3,LCD,120231,1,6,3,6,5,2,0,2,1,0,0,0,0,0,3.27,"Kink, Dawn M"
ACCY,304,30294,Accounting Control Systems,AE4,LCD,120231,2,7,5,3,4,1,1,1,1,1,0,0,0,0,3.32,"Hayne, Christie"
ACCY,304,30299,Accounting Control Systems,AE6,LCD,120231,0,9,3,3,8,2,0,1,0,0,0,0,0,0,3.4,"Kink, Dawn M"
ACCY,304,48421,Accounting Control Systems,AE8,LCD,120231,5,4,4,6,2,1,1,2,1,1,0,0,0,0,3.28,"Hayne, Christie"
ACCY,312,30334,Principles of Taxation,A,LCD,120231,0,6,2,5,5,4,1,0,0,0,0,0,0,0,3.3,"Hutchens, Michelle L"
ACCY,312,30335,Principles of Taxation,B,LCD,120231,0,9,1,3,2,2,4,1,0,0,0,0,0,0,3.29,"Hutchens, Michelle L"
ACCY,312,39460,Principles of Taxation,D,LCD,120231,0,11,0,0,8,0,0,4,0,0,0,0,0,0,3.3,"Holder, Charles B"
ACCY,312,48959,Principles of Taxation,E,LCD,120231,4,2,1,4,3,6,2,0,0,0,0,0,0,0,3.21,"Osswald, Benjamin"
ACCY,312,56978,Principles of Taxation,F,LCD,120231,4,5,2,4,3,3,1,0,0,0,0,0,0,0,3.45,"Osswald, Benjamin"
ACCY,398,30412,Practical Problems in Atg,A,ONL,120231,0,100,0,0,1,0,0,1,0,0,0,0,1,0,3.93,"Hutchens, Matthew"
ACCY,405,30311,Assurance and Attestation,AE1,LCD,120231,4,7,4,2,2,1,3,1,0,0,0,0,1,0,3.32,"Dahle, Andrew J"
ACCY,405,30315,Assurance and Attestation,AE2,LCD,120231,1,6,3,3,5,2,1,3,0,0,0,0,0,0,3.24,"Dahle, Andrew J"
ACCY,405,30324,Assurance and Attestation,AE3,LCD,120231,0,12,8,2,2,1,0,0,0,0,0,0,0,0,3.71,"Rogowski, Edward J"
ACCY,405,71388,Assurance and Attestation,AE7,LCD,120231,0,8,10,3,1,1,0,0,0,0,0,0,0,0,3.67,"Rogowski, Edward J"
ACCY,410,60044,Advanced Financial Reporting,A3,LCD,120231,2,5,4,2,2,6,3,0,1,0,1,0,1,0,2.95,"Kustanovich, Michael"
ACCY,410,60045,Advanced Financial Reporting,B3,LCD,120231,5,5,6,6,2,2,1,0,2,0,0,0,0,0,3.42,"Steward, Cynthia G"
ACCY,410,61733,Advanced Financial Reporting,C3,LCD,120231,5,6,2,1,2,2,3,4,0,0,0,0,0,0,3.26,"Chen, Ciao-Wei"
ACCY,410,61734,Advanced Financial Reporting,D3,LCD,120231,3,13,5,1,2,2,1,0,1,0,0,0,0,0,3.58,"Kustanovich, Michael"
ACCY,451,61737,Advanced Income Tax Problems,A3,LCD,120231,11,3,1,2,2,1,2,2,0,1,1,0,0,0,3.3,"Alt, Amanda J"
ACCY,451,61739,Advanced Income Tax Problems,B3,LCD,120231,0,18,0,0,7,0,0,5,0,0,0,0,0,0,3.44,"Holder, Charles B"
ACCY,451,61743,Advanced Income Tax Problems,D3,LCD,120231,0,15,0,0,8,0,0,2,0,0,0,0,0,0,3.51,"Holder, Daniel E"
ACCY,451,65160,Advanced Income Tax Problems,E3,LCD,120231,13,7,1,4,2,2,1,0,0,1,1,0,0,1,3.53,"Alt, Amanda J"
ACCY,500,67786,"Atg Measuremnt, Rpting & Cntrl",IMB,ONL,120231,410,68,33,12,4,2,3,0,0,0,0,0,4,2,3.91,"Urcan, Oktay"
ACCY,501,68872,Accounting Analysis I A,DA1,ONL,120231,3,21,14,9,4,6,4,1,1,1,0,0,3,1,3.28,"Augusto Sampaio, Gerlando"
ACCY,501,68873,Accounting Analysis I B,DB1,ONL,120231,6,9,14,11,14,5,4,1,1,0,0,0,7,0,3,"Augusto Sampaio, Gerlando"
ACCY,502,67590,Accounting Analysis II A,DA1,ONL,120231,16,48,19,15,13,7,9,9,2,0,0,0,1,0,3.42,"Mendoza, Scott A"
ACCY,502,67591,Accounting Analysis II B,DB1,ONL,120231,14,43,22,14,19,15,4,2,0,0,2,0,0,0,3.46,"Mendoza, Scott A"
ACCY,503,44637,Managerial Accounting,A4,LCD,120231,2,10,6,6,5,1,0,0,0,0,0,0,0,0,3.59,"Herbold, T J"
ACCY,503,67610,Managerial Accounting A,DA1,ONL,120231,16,44,44,27,32,4,1,1,0,0,0,0,4,0,3.48,"Hecht, Gary W"
ACCY,503,67611,Managerial Accounting B,DB1,ONL,120231,30,86,21,17,18,3,1,7,1,0,0,0,6,0,3.57,"Hecht, Gary W"
ACCY,503,69063,Managerial Accounting,IMB,ONL,120231,262,399,193,131,70,32,15,12,4,2,1,0,14,1,3.66,"Chen, Xiaoling"
ACCY,503,69208,Managerial Accounting,ONL,ONL,120231,8,17,10,6,4,1,1,0,1,0,0,0,5,0,3.31,"Zhang, Li"
ACCY,506,66495,Advanced Topics in Accounting,B4,LCD,120231,2,11,5,2,2,2,0,0,0,0,0,0,0,0,3.68,"Ibrahim, Adel Nematallah"
ACCY,506,66496,Advanced Topics in Accounting,C4,LCD,120231,0,7,6,2,7,0,2,0,0,0,0,0,0,0,3.43,"Ibrahim, Adel Nematallah"
ACCY,507,67722,Taxation of Bus Entities A,DA1,ONL,120231,18,21,17,9,5,1,1,1,0,0,0,0,0,0,3.7,"Donohoe, Michael P"
ACCY,507,67725,Taxation of Bus Entities B,DB1,ONL,120231,25,28,5,6,4,1,1,2,0,0,0,0,0,0,3.77,"Donohoe, Michael P"
ACCY,510,44865,Financial Reporting Standards,B,LCD,120231,0,10,5,5,9,2,1,2,0,0,0,0,0,0,3.34,"Persson, Martin E"
ACCY,510,46889,Financial Reporting Standards,C,LCD,120231,0,9,4,5,15,1,1,1,0,0,0,0,0,0,3.31,"Persson, Martin E"
ACCY,510,46890,Financial Reporting Standards,D,LCD,120231,0,8,4,11,12,1,0,0,0,0,0,0,0,0,3.39,"Persson, Martin E"
ACCY,512,30434,Data Analytics for Mgmt Acctg,A,LCD,120231,0,25,7,0,2,1,0,0,0,0,0,0,0,0,3.84,"Wang, Wei"
ACCY,512,30436,Data Analytics for Mgmt Acctg,B,LCD,120231,0,13,6,0,1,0,2,0,2,0,0,0,0,0,3.54,"Wang, Wei"
ACCY,512,30437,Data Analytics for Mgmt Acctg,C,LCD,120231,0,14,3,2,1,1,0,0,0,0,0,0,0,0,3.78,"Wang, Wei"
ACCY,515,44467,Auditing & Assurance Standards,A,LCD,120231,1,8,2,7,1,2,1,1,0,0,0,1,0,0,3.33,"Lullo, Michael J"
ACCY,515,46360,Auditing & Assurance Standards,B,LCD,120231,0,0,2,10,2,5,0,0,1,0,0,0,1,0,2.94,"Lullo, Michael J"
ACCY,515,48423,Auditing & Assurance Standards,C,LCD,120231,0,7,1,11,2,1,1,0,1,0,0,0,0,0,3.37,"Lullo, Michael J"
ACCY,517,30428,Financial Statement Analysis,A4,LCD,120231,5,9,7,1,3,1,0,0,0,0,0,0,0,0,3.72,"Li, Yue"
ACCY,517,58688,Financial Statement Analysis,D4,LCD,120231,0,12,16,1,0,1,0,0,0,0,0,0,0,0,3.76,"Hamm, Brian K"
ACCY,517,61747,Financial Statement Analysis,E4,LCD,120231,5,8,1,4,2,1,0,0,0,0,0,0,0,0,3.7,"Li, Yue"
ACCY,517,63201,Financial Statement Analysis,G4,LCD,120231,0,16,2,3,1,0,0,0,0,0,0,0,0,0,3.83,"Hamm, Brian K"
ACCY,574,70515,Risk Management and Innovation,A,LCD,120231,0,44,1,1,0,0,0,0,1,0,0,0,0,0,3.93,"Leiby, Justin"
ACCY,574,70516,Risk Management and Innovation,B,LCD,120231,0,42,0,1,0,0,0,1,1,0,0,0,0,0,3.89,"Leiby, Justin"
ACCY,574,74806,Risk Management and Innovation,IMB,ONL,120231,1,63,3,1,2,0,1,0,0,0,0,1,0,1,3.88,"Leiby, Justin"
ACCY,575,64806,Data Analytics Apps in ACCY,A,LCD,120231,12,9,2,0,2,0,0,0,0,0,0,1,0,0,3.77,"Park, Ye Joo"
ACCY,575,67001,Data Analytics Apps in ACCY,B,LCD,120231,17,12,3,1,0,0,0,0,0,0,0,0,0,0,3.95,"Park, Ye Joo"
ACCY,575,66491,Data Analytics Apps in ACCY,D,LCD,120231,3,8,7,5,4,2,0,0,0,0,0,0,0,0,3.58,"Zhu, Wei"
ACCY,575,66492,Data Analytics Apps in ACCY,E,LCD,120231,9,14,5,1,1,1,1,0,0,0,0,0,0,0,3.8,"Zhu, Wei"
ACCY,575,66493,Data Analytics Apps in ACCY,F,LCD,120231,4,10,5,7,4,0,0,0,1,0,0,0,0,0,3.59,"Zhu, Wei"
ACCY,575,70206,Data Analytics Apps in ACCY,H,LCD,120231,0,13,10,1,1,1,1,0,0,0,0,0,0,0,3.7,"Penn, Michael W"
ACCY,576,70683,Data Preparation for Accting,DA1,ONL,120231,34,23,2,3,3,0,1,1,0,0,0,0,3,0,3.7,"Guymon, Ronald N"
ACCY,577,71767,Machine Learning for Accting,DB1,ONL,120231,6,23,22,3,3,1,0,0,0,0,0,0,0,0,3.77,"Lu, Zhenzhong L"
ACE,100,30470,Intro to Applied Micro,AD1,DIS,120231,7,5,2,4,4,1,3,2,0,0,1,0,0,0,3.29,"Hadunka, Protensia"
ACE,100,30480,Intro to Applied Micro,AD7,DIS,120231,5,3,3,2,4,1,3,2,0,1,2,0,0,0,3.03,"Hadunka, Protensia"
ACE,161,30513,Microcomputer Applications,N2,ONL,120231,0,30,0,0,6,0,0,4,0,0,1,0,1,1,3.5,"Burnett, Meghan L"
ACE,161,30493,Microcomputer Applications,R,OLB,120231,0,19,0,0,10,0,0,5,0,0,0,0,0,1,3.41,"Lo, Alexander C"
ACE,161,30494,Microcomputer Applications,T,OLB,120231,0,18,0,0,7,0,0,1,0,0,0,0,1,0,3.52,"Lo, Alexander C"
ACE,199,73225,"Women, Money and Power",AL,LEC,120231,13,10,0,0,2,0,0,2,0,0,0,0,0,0,3.78,"Lemoine, Craig"
ACE,199,48181,Digital Mktg and Social Media,DMS,ONL,120231,0,23,0,0,5,0,0,1,0,0,0,0,0,1,3.76,"Lo, Alexander C"
ACE,199,53569,Negotiation,NPS,ONL,120231,42,29,1,5,2,3,0,0,1,0,0,0,2,0,3.76,"Stoddard, Paul B"
ACE,210,30528,Environmental Economics,AL1,LEC,120231,10,19,13,6,9,7,7,9,5,1,2,1,0,0,3.1,"Damon, Lisa A"
ACE,231,55458,Food and Agribusiness Mgt,T,LCD,120231,11,29,24,12,13,4,4,4,2,0,2,1,1,0,3.37,"Stoddard, Paul B"
ACE,232,30577,Farm Management,S,LCD,120231,3,8,7,5,8,5,6,1,1,3,0,0,1,0,3.03,"Elmore, Ailie C"
ACE,240,55444,Personal Financial Planning,ONL,ONL,120231,596,74,0,0,42,0,0,19,0,0,3,0,17,1,3.79,"Lemoine, Craig"
ACE,240,55447,Personal Financial Planning,PS,LCD,120231,19,25,10,9,3,3,0,0,1,0,0,0,1,0,3.68,"Sanchez, Donovan"
ACE,251,39440,The World Food Economy,AL1,OLC,120231,4,38,29,15,16,8,1,3,2,0,0,0,1,0,3.47,"Michelson, Hope C"
ACE,255,67437,Econ of Food & Enviro Justice,AL1,LEC,120231,68,39,21,8,3,2,0,1,0,0,0,0,0,0,3.86,"Ando, Amy W"
ACE,262,70716,App Stat Mthds & Data AnlytcsI,AS1,LEC,120231,13,13,8,6,9,4,2,7,4,2,2,1,0,0,3.12,"Gundersen, Lisa C"
ACE,264,70717,App Stat Mthds & Data Anlytcs2,AS2,LCD,120231,22,23,17,14,9,8,3,5,3,3,1,0,0,1,3.37,"Hultgren, Andrew B"
ACE,270,30581,Consumer Economics,E,LEC,120231,20,16,8,6,5,2,0,0,1,0,0,0,0,0,3.71,"Gundersen, Lisa C"
ACE,300,70714,Interm. Applied Microeconomics,AL1,LEC,120231,12,20,10,8,12,7,5,10,4,4,4,1,1,0,3,"Endres, Renata"
ACE,306,71848,Food Law,P,LCD,120231,4,16,9,2,7,5,3,3,0,0,0,0,0,0,3.41,"Endres, A B"
ACE,310,60459,Natural Resource Economics,AL1,LEC,120231,8,10,7,5,8,8,1,0,1,0,1,0,0,0,3.36,"Endres, Renata"
ACE,335,68043,Food Marketing and Behavior,FMB,LCD,120231,0,7,6,3,2,2,0,0,0,0,0,0,1,0,3.4,"Kalaitzandonake, Maria H"
ACE,341,64483,Contemporary Issues in Policy,CP,LCD,120231,17,10,3,1,2,3,0,0,0,0,0,0,1,0,3.69,"Karplus, Lauren E"
ACE,344,74133,FinTech Pers Fin & Fin Plan,TCH,ONL,120231,2,30,0,0,3,0,0,0,0,0,0,0,0,1,3.91,"Lemoine, Craig"
ACE,345,73342,Finan Decision Indiv Sm Bus,X,LCD,120231,5,5,6,10,9,11,3,5,2,0,0,0,0,0,3.07,"Elmore, Ailie C"
ACE,349,74131,RM & FP Across the Life Cycle,RM,ONL,120231,0,3,12,8,6,3,1,2,0,0,0,0,0,0,3.29,"Sanchez, Donovan"
ACE,360,53547,Spreadsheet Models & Applic,B,ONL,120231,0,24,2,1,3,0,1,0,0,0,0,0,1,0,3.69,"Campbell, William D"
ACE,360,69674,Spreadsheet Models & Applic,XL,ONL,120231,0,22,0,1,0,0,0,1,0,0,0,0,1,0,3.73,"Campbell, William D"
ACE,403,30588,Agricultural Law,UG,LCD,120231,3,10,13,2,0,3,0,0,0,0,0,0,0,0,3.69,"Coppess, Jonathan W"
ACE,427,30592,Commodity Price Analysis,C,LCD,120231,0,15,14,11,9,5,1,0,0,0,0,0,0,0,3.47,"Janzen, Joseph P"
ACE,428,57692,Commodity Futures and Options,E,LCD,120231,4,7,3,8,13,4,6,2,1,0,3,1,1,0,2.92,"Stoddard, Paul B"
ACE,430,43567,Food Marketing,S,LCD,120231,2,6,3,7,9,3,1,8,0,0,2,0,0,0,2.97,"Goldsmith, Peter D"
ACE,435,58953,Global Agribusiness Management,GR,LCD,120231,0,61,7,1,8,0,1,4,0,1,1,0,0,0,3.69,"Schnitkey, Gary D"
ACE,440,55460,Finan Plan for Professionals,UG,LCD,120231,3,38,10,2,5,0,0,0,0,0,0,0,0,0,3.83,"Allen, Sharon C"
ACE,444,55323,Finan Serv & Invest Plan,P,LCD,120231,4,13,9,11,1,4,5,5,6,0,2,0,0,1,3.08,"Sherrick, Bruce J"
ACE,446,49906,Modeling App's Finan Plan,GR,LBD,120231,5,11,2,2,9,0,3,4,2,2,0,0,0,0,3.15,"Sherrick, Bruce J"
ACE,449,52915,Retirement & Benefit Planning,UG,LCD,120231,3,22,15,12,8,5,1,1,0,0,0,0,1,0,3.48,"Sanchez, Donovan"
ACE,451,49908,Agriculture in Intl Dev,GR,LCD,120231,3,8,2,9,4,1,2,1,1,0,0,0,0,0,3.36,"McNamara, Paul E"
ACE,474,30604,Economics of Consumption,UG,LCD,120231,2,0,8,1,7,10,3,7,0,0,0,0,0,0,2.88,"Fonseca Travass, Guilherm"
ACE,476,62223,Behavioral Economics,UG,LCD,120231,0,11,6,9,8,3,4,5,1,1,1,0,0,0,3.09,"Herrera Almanza, Catalina"
ACES,102,63906,Intro Sustainable Food Systems,LR,LCD,120231,8,34,6,0,2,0,0,0,0,0,0,0,0,0,3.92,"Ball, Anna L"
ADV,150,74341,Introduction to Advertising,AB1,DIS,120231,19,8,1,1,1,2,0,0,0,0,0,0,1,0,3.74,"Faisal, Naufil B"
ADV,150,74342,Introduction to Advertising,AB2,DIS,120231,20,15,0,0,2,0,0,0,0,0,0,0,0,0,3.95,"Arreazola, Catherine J"
ADV,150,74343,Introduction to Advertising,AB3,DIS,120231,10,18,0,2,3,0,1,0,0,0,0,0,0,0,3.82,"Arreazola, Catherine J"
ADV,150,74344,Introduction to Advertising,AB4,DIS,120231,19,12,4,1,0,0,0,0,0,0,1,0,0,0,3.87,"Faisal, Naufil B"
ADV,150,74345,Introduction to Advertising,AB5,DIS,120231,18,11,0,0,0,0,0,2,0,0,0,0,3,0,3.53,"Lee, Yujin"
ADV,150,74346,Introduction to Advertising,AB6,DIS,120231,13,16,0,2,1,0,0,3,1,0,0,0,0,0,3.7,"Bhalla, Sakshi"
ADV,150,74347,Introduction to Advertising,AB7,DIS,120231,20,14,0,0,2,0,0,1,0,0,0,0,0,0,3.89,"Lee, Yujin"
ADV,150,74348,Introduction to Advertising,AB8,DIS,120231,10,20,0,0,0,0,1,1,0,1,0,0,0,0,3.81,"Bhalla, Sakshi"
ADV,175,74338,Diversity in Advertising,A,LEC,120231,0,31,13,21,15,11,2,3,0,0,0,1,0,0,3.37,"Chambers, Jason P"
ADV,200,74331,Data Literacy,AB1,LAB,120231,0,8,7,5,3,0,1,1,0,0,0,0,0,0,3.51,"Liu, Jingyu"
ADV,270,70232,Principles of Sales,A,ONL,120231,21,4,10,7,5,1,0,2,1,0,0,0,1,0,3.53,"Clifton, Dionne J"
ADV,281,68850,Advertising Research Methods,D1,DIS,120231,2,2,4,2,5,1,2,1,0,1,0,2,0,0,2.92,"Rahman, Nisa P"
ADV,281,68854,Advertising Research Methods,D3,DIS,120231,6,0,4,1,3,4,4,2,1,3,0,1,0,0,2.8,"Lee, Seo Yoon"
ADV,281,68855,Advertising Research Methods,D4,DIS,120231,3,1,5,2,3,1,1,3,1,1,0,1,0,0,2.94,"Lee, Seo Yoon"
ADV,281,68856,Advertising Research Methods,D5,DIS,120231,2,2,3,6,2,4,3,2,4,0,1,0,0,0,2.84,"Rahman, Nisa P"
ADV,283,74337,Advertising and Brand Strategy,AL1,LEC,120231,0,95,14,3,3,3,1,0,0,0,0,1,0,0,3.84,"Meron, Shachar"
ADV,284,68858,Consumer Insight,D1,DIS,120231,0,15,8,3,2,0,0,0,0,0,0,0,0,0,3.76,"Chung, Un Chae"
ADV,284,68859,Consumer Insight,D2,DIS,120231,0,17,7,1,1,1,1,0,0,0,0,0,0,0,3.75,"Paltaratskaya, Veranika"
ADV,284,68860,Consumer Insight,D3,DIS,120231,0,16,7,2,1,1,0,0,1,0,0,0,0,0,3.7,"Chung, Un Chae"
ADV,284,68865,Consumer Insight,D4,DIS,120231,0,14,0,6,5,1,0,1,0,0,0,0,0,0,3.54,"Paltaratskaya, Veranika"
ADV,290,73632,Social Media & Personal Brand,SMB,ONL,120231,0,34,17,13,23,4,4,2,0,0,0,0,0,0,3.45,"Muirhead, Susan P"
ADV,301,74402,Becoming an Influencer,INF,LCD,120231,15,23,2,1,4,1,0,3,0,1,0,0,2,0,3.55,"Wilson, Carrie A"
ADV,305,67033,AdTech and the Digital World,A,LCD,120231,7,21,6,6,2,0,0,0,0,0,0,0,0,0,3.81,"Fisher, Jacob T"
ADV,310,54936,Intro to Public Relations,A,LCD,120231,11,26,17,7,23,2,5,1,0,0,0,0,0,0,3.5,"Hitchon, Jacqueline C"
ADV,314,73629,Sports Public Relations,SPR,ONL,120231,0,11,8,1,6,1,1,6,0,0,0,0,1,1,3.19,"Raquel, Steve A"
ADV,320,70233,Sales Management,A,ONL,120231,46,25,9,7,2,3,5,1,1,0,0,1,3,1,3.6,"Clifton, Dionne J"
ADV,350,62664,Writing for Public Relations,C,LCD,120231,4,11,2,1,1,0,1,0,2,1,0,0,0,0,3.51,"Vance, Allison C"
ADV,370,70234,Sales and the Consumer,A,ONL,120231,50,16,8,8,5,5,4,3,0,2,2,1,10,1,3.24,"Clifton, Dionne J"
ADV,390,60085,Content Creation,A,LCD,120231,0,30,11,15,10,19,4,3,0,0,0,1,0,0,3.3,"Sheldon, Peter S"
ADV,393,60086,Advertising and Society,A,LCD,120231,22,33,4,1,1,1,1,0,0,0,1,0,0,0,3.86,"Wang, Yanyun"
ADV,409,68732,Media Entrepreneurship,A,ONL,120231,15,8,1,4,1,1,0,0,0,0,0,0,0,0,3.82,"Kasdan, Terry P"
ADV,410,50144,Public Relations Strategies,A,LCD,120231,11,14,3,3,2,1,0,0,0,0,0,0,0,0,3.81,"Peacock, Marisa C"
ADV,460,60087,Innovations in Advertising,AB1,DIS,120231,0,8,9,0,3,0,2,1,1,0,1,0,0,0,3.33,"Lee, Dongchan"
ADV,460,61526,Innovations in Advertising,AB2,DIS,120231,0,11,7,5,4,1,1,0,0,0,0,0,1,0,3.44,"Lee, Dongchan"
ADV,460,74340,Innovations in Advertising,AB4,DIS,120231,0,10,12,3,3,0,1,0,0,0,0,0,0,0,3.63,"Kim, Woo Jin"
ADV,461,70249,Computational Advertising,A,LCD,120231,3,5,9,1,2,0,0,1,0,0,0,0,0,0,3.64,"Maslowska, Ewa H"
ADV,483,57841,Audience Analysis,C,LCD,120231,1,3,3,3,8,6,5,4,0,1,0,0,1,0,2.8,"Wise, Kevin R"
ADV,483,61524,Audience Analysis,D,LCD,120231,1,1,7,10,7,3,3,2,1,2,0,0,0,0,3.01,"Wise, Kevin R"
ADV,483,68912,Audience Analysis,E,LCD,120231,1,7,6,8,10,0,2,2,1,0,0,0,1,0,3.18,"Wise, Kevin R"
ADV,490,58647,Digital Portfolio,DP,LCD,120231,15,3,1,0,1,0,0,1,0,0,0,0,1,0,3.67,"Muirhead, Susan P"
AE,140,72380,CAD,CA1,LCD,120231,1,30,6,2,2,4,1,2,0,0,1,0,0,0,3.61,"Laystrom-Woodar, Julia K"
AE,140,72381,CAD,CA2,LCD,120231,5,30,4,3,2,2,1,1,1,0,0,0,1,0,3.64,"Laystrom-Woodar, Julia K"
AE,202,54415,Aerospace Flight Mechanics,A,LCD,120231,90,34,4,3,4,1,0,1,0,0,0,0,0,1,3.92,"Wroblewski, Gabrielle E"
AE,311,65567,Incompressible Flow,B,LEC,120231,3,7,4,2,3,2,0,1,0,0,2,0,2,0,3.06,"Saxton-Fox, Theresa A"
