CRN,Course Subject,Course Number,Course Title,Course Section,Sched Type,Term,Primary Instructor,A Range,B Range,C Range,D Range,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade
36701,ACCY,303,Atg Institutions and Reg,AE3,LCD,120188,"Godsell, David",,,,,9,4,3,6,6,2,1,0,0,1,1,0,0,0,3.36
36713,ACCY,303,Atg Institutions and Reg,AE4,LCD,120188,"Godsell, David",,,,,12,4,2,1,2,4,4,4,0,0,0,0,0,0,3.29
49259,ACCY,303,Atg Institutions and Reg,AE5,LCD,120188,"Hamm, Brian K",,,,,9,6,3,4,3,1,2,3,0,0,1,0,0,0,3.36
36703,ACCY,303,Atg Institutions and Reg,AE6,LCD,120188,"Hamm, Brian K",,,,,6,7,5,2,4,3,1,2,2,0,0,0,1,0,3.23
67818,ACCY,303,Atg Institutions and Reg,AE7,LCD,120188,"Li, Wei",,,,,1,6,7,13,3,0,0,1,1,0,1,0,0,0,3.35
31317,ACCY,304,Accounting Control Systems,AE1,LCD,120188,"Koo, Seung Hyun",,,,,0,5,7,8,7,3,2,1,1,1,2,0,0,0,3.05
31318,ACCY,304,Accounting Control Systems,AE2,LCD,120188,"Koo, Seung Hyun",,,,,1,9,6,7,5,2,3,0,0,0,0,0,0,0,3.41
31319,ACCY,304,Accounting Control Systems,AE3,LCD,120188,"Koo, Seung Hyun",,,,,0,13,9,6,2,2,2,0,0,0,0,0,1,0,3.46
31320,ACCY,304,Accounting Control Systems,AE4,LCD,120188,"Hayne, Christie",,,,,0,5,8,2,9,3,1,3,1,1,1,0,0,0,3.04
49280,ACCY,304,Accounting Control Systems,AE5,LCD,120188,"Hayne, Christie",,,,,2,3,5,10,8,5,1,1,0,0,0,0,0,0,3.24
62036,ACCY,304,Accounting Control Systems,AE6,LCD,120188,"Hayne, Christie",,,,,3,10,9,7,3,1,0,0,0,0,0,0,0,0,3.64
31321,ACCY,312,Principles of Taxation,A,LCD,120188,"Penn, Michael W",,,,,3,3,1,2,1,8,3,2,0,0,1,0,0,1,2.95
31324,ACCY,312,Principles of Taxation,B,LCD,120188,"Penn, Michael W",,,,,7,7,7,4,4,2,1,0,0,0,0,0,0,0,3.58
31330,ACCY,312,Principles of Taxation,C,LCD,120188,"Penn, Michael W",,,,,5,8,4,3,3,7,0,0,0,0,0,0,1,0,3.37
31332,ACCY,312,Principles of Taxation,D,LCD,120188,"Penn, Michael W",,,,,4,6,3,1,9,7,0,0,0,0,0,0,0,0,3.33
31333,ACCY,312,Principles of Taxation,E,LCD,120188,"Alt, Amanda J",,,,,6,6,2,4,4,2,3,1,0,1,0,0,0,0,3.32
45719,ACCY,312,Principles of Taxation,F,LCD,120188,"Holder, Charles B",,,,,0,14,0,1,9,0,0,4,0,0,0,0,0,0,3.37
45934,ACCY,312,Principles of Taxation,G,LCD,120188,"Alt, Amanda J",,,,,7,4,6,4,5,1,1,1,0,0,1,0,1,0,3.3
36758,ACCY,405,Assurance and Attestation,AE2,LCD,120188,"Leiby, Justin",,,,,0,6,4,8,4,0,1,0,0,0,0,0,0,0,3.46
36764,ACCY,405,Assurance and Attestation,AE3,LCD,120188,"Leiby, Justin",,,,,0,5,8,8,3,0,0,0,0,0,0,0,0,0,3.54
54162,ACCY,405,Assurance and Attestation,AE7,LCD,120188,"Leiby, Justin",,,,,1,9,4,5,3,0,0,0,0,0,0,0,0,0,3.65
61231,ACCY,410,Advanced Financial Reporting,B3,LCD,120188,"Steward, Cynthia G",,,,,3,12,0,4,6,5,2,0,1,0,0,0,0,0,3.37
62729,ACCY,410,Advanced Financial Reporting,C3,LCD,120188,"Steward, Cynthia G",,,,,6,12,0,5,2,4,1,2,1,1,0,0,0,0,3.34
62730,ACCY,410,Advanced Financial Reporting,D3,LCD,120188,"Kustanovich, Michael",,,,,3,12,6,4,7,4,1,0,1,0,1,0,0,0,3.38
62731,ACCY,410,Advanced Financial Reporting,E3,LCD,120188,"Kustanovich, Michael",,,,,1,7,8,6,5,2,2,0,1,0,0,0,0,0,3.4
29676,ACCY,415,Auditing Stds and Practice,AE1,LCD,120188,"Lullo, Michael J",,,,,0,9,3,14,2,8,0,0,0,0,0,0,0,0,3.36
64648,ACCY,415,Auditing Stds and Practice,AE2,LCD,120188,"Lullo, Michael J",,,,,0,6,5,13,3,3,0,2,0,0,0,0,2,0,3.14
65021,ACCY,415,Auditing Stds and Practice,AE3,LCD,120188,"Lullo, Michael J",,,,,0,5,3,13,8,4,0,1,0,0,1,0,0,0,3.2
49130,ACCY,451,Advanced Income Tax Problems,A3,LCD,120188,"Holder, Charles B",,,,,0,15,0,0,10,0,0,5,0,0,0,0,0,0,3.34
54569,ACCY,451,Advanced Income Tax Problems,B3,LCD,120188,"Hutchens, Matthew",,,,,6,9,5,3,6,3,0,0,0,0,0,0,0,0,3.58
62733,ACCY,451,Advanced Income Tax Problems,C3,LCD,120188,"Holder, Charles B",,,,,0,17,0,0,9,0,0,5,0,0,0,0,0,0,3.38
63119,ACCY,451,Advanced Income Tax Problems,D3,LCD,120188,"Hutchens, Matthew",,,,,3,7,6,2,11,1,4,0,0,0,0,0,0,0,3.37
70659,ACCY,451,Advanced Income Tax Problems,E3,LCD,120188,"Sternburg, Thomas",,,,,0,5,6,6,9,0,0,1,0,0,0,0,0,0,3.38
49761,ACCY,500,"Atg Measuremnt, Rpting & Cntrl",ADV,LCD,120188,"Augusto Sampaio, Gerlando",,,,,21,9,1,3,1,0,1,0,0,0,0,0,0,0,3.86
58446,ACCY,500,"Atg Measuremnt, Rpting & Cntrl",GRD,LCD,120188,"Augusto Sampaio, Gerlando",,,,,14,14,5,2,1,1,1,0,0,0,0,0,0,0,3.82
67282,ACCY,500,"Atg Measuremnt, Rpting & Cntrl",IMB,ONL,120188,"Urcan, Oktay",,,,,176,180,159,84,72,2,0,0,0,0,0,0,2,0,3.72
62025,ACCY,500,"Atg Measuremnt, Rpting & Cntrl",MSB,LCD,120188,"Zhang, Li",,,,,4,8,0,7,11,2,0,10,4,0,0,0,0,0,2.96
67281,ACCY,500,"Atg Measuremnt, Rpting & Cntrl",ONL,ONL,120188,"Urcan, Oktay",,,,,14,11,20,9,12,0,0,0,0,0,0,0,6,1,3.32
29678,ACCY,501,Accounting Analysis I A,DA1,ONL,120188,"Davis, Gregory L",,,,,9,37,38,17,17,7,3,0,1,0,0,0,0,1,3.55
69435,ACCY,501,Accounting Analysis I B,DB1,ONL,120188,"Davis, Gregory L",,,,,13,54,23,14,9,5,2,5,0,0,0,0,0,1,3.63
70308,ACCY,501,Accounting Analysis I,MSF,LCD,120188,"Augusto Sampaio, Gerlando",,,,,7,9,4,6,5,0,1,1,0,0,0,0,0,0,3.58
69437,ACCY,501,Accounting Analysis I A,NA1,ONL,120188,"Davis, Gregory L",,,,,1,10,4,1,1,2,1,1,0,0,0,0,2,0,3.25
69438,ACCY,501,Accounting Analysis I B,NB1,ONL,120188,"Davis, Gregory L",,,,,4,7,3,6,0,0,0,0,0,0,0,0,1,0,3.57
29680,ACCY,502,Accounting Analysis II,A,LCD,120188,"Schwartz, Rachel",,,,,4,14,6,2,5,4,1,1,0,0,0,0,0,0,3.53
31334,ACCY,502,Accounting Analysis II,B,LCD,120188,"Schwartz, Rachel",,,,,12,11,7,6,3,1,1,1,0,0,0,0,0,0,3.66
61232,ACCY,502,Accounting Analysis II,C,LCD,120188,"Schwartz, Rachel",,,,,3,9,6,4,2,3,2,1,0,0,1,0,0,0,3.39
66973,ACCY,503,Managerial Accounting,IMB,ONL,120188,"Fisher, Mitchell B",,,,,3,22,14,5,2,3,1,0,0,0,0,0,0,0,3.69
56299,ACCY,504,Auditing,A,LCD,120188,"Pesch, Heather L",,,,,0,7,7,0,12,1,0,0,0,0,0,0,0,0,3.42
59162,ACCY,504,Auditing,B,LCD,120188,"Pesch, Heather L",,,,,0,13,6,0,21,2,0,0,1,0,0,0,0,0,3.35
64875,ACCY,504,Auditing,C,LCD,120188,"Pesch, Heather L",,,,,0,14,7,0,16,1,0,1,0,0,0,0,0,0,3.45
70165,ACCY,504,Auditing A,DA1,ONL,120188,"Peecher, Mark E",,,,,2,5,3,4,3,1,2,1,3,0,0,0,0,0,3.15
70166,ACCY,504,Auditing B,DB1,ONL,120188,"Peecher, Mark E",,,,,2,5,3,2,7,2,0,0,0,0,1,0,0,0,3.32
31339,ACCY,505,Federal Taxation,A,LCD,120188,"Chatterton, Angel",,,,,0,13,0,0,16,0,0,6,0,0,0,0,0,0,3.2
31341,ACCY,505,Federal Taxation,B,LCD,120188,"Holder, Daniel E",,,,,0,18,0,0,10,0,0,6,0,0,0,0,0,0,3.35
54993,ACCY,505,Federal Taxation,C,LCD,120188,"Holder, Daniel E",,,,,0,20,0,0,14,0,0,0,0,0,0,0,0,0,3.59
57605,ACCY,505,Federal Taxation,D,LCD,120188,"Chatterton, Angel",,,,,0,16,0,0,9,0,0,1,0,0,0,0,0,0,3.58
69441,ACCY,505,Federal Taxation A,DA1,ONL,120188,"Hutchens, Matthew",,,,,13,40,21,9,9,1,1,0,0,0,0,0,0,1,3.73
69442,ACCY,505,Federal Taxation B,DB1,ONL,120188,"Hutchens, Matthew",,,,,20,34,15,8,11,8,0,0,0,0,0,0,0,1,3.67
70661,ACCY,505,Federal Taxation,E,LCD,120188,"Chatterton, Angel",,,,,0,17,0,0,17,0,0,1,0,0,0,0,0,0,3.46
49275,ACCY,510,Financial Reporting Standards,D,LCD,120188,"Steward, Cynthia G",,,,,1,9,0,6,13,3,2,3,0,0,0,0,0,1,3.18
61974,ACCY,510,Financial Reporting Standards,E,LCD,120188,"Hepp, John",,,,,4,8,5,8,6,0,0,0,0,0,0,0,0,0,3.58
62037,ACCY,510,Financial Reporting Standards,F,LCD,120188,"Hepp, John",,,,,3,9,7,10,6,0,0,0,0,0,0,0,0,0,3.57
63121,ACCY,510,Financial Reporting Standards,G,LCD,120188,"Steward, Cynthia G",,,,,2,14,0,9,8,4,2,0,0,0,0,0,0,0,3.42
51813,ACCY,512,Data Analytics for Mgmt Acctg,A,LCD,120188,"Du, Fei",,,,,7,8,12,8,0,2,0,0,0,0,0,0,0,0,3.68
51814,ACCY,512,Data Analytics for Mgmt Acctg,B,LCD,120188,"Du, Fei",,,,,8,9,16,5,0,0,0,0,0,0,0,0,0,0,3.77
51816,ACCY,512,Data Analytics for Mgmt Acctg,D,LCD,120188,"Du, Fei",,,,,6,7,10,10,0,0,0,0,0,0,0,0,0,0,3.7
46977,ACCY,515,Auditing & Assurance Standards,A,LCD,120188,"Zhou, Yuepin",,,,,0,8,5,8,4,5,0,0,0,0,0,0,0,0,3.41
46978,ACCY,515,Auditing & Assurance Standards,B,LCD,120188,"Zhou, Yuepin",,,,,0,4,3,7,11,6,0,0,0,0,0,0,0,0,3.2
54477,ACCY,515,Auditing & Assurance Standards,C,LCD,120188,"Zhou, Yuepin",,,,,0,9,6,5,6,4,0,0,0,0,0,0,0,0,3.45
31377,ACCY,517,Financial Statement Analysis,B,LCD,120188,"Ibrahim, Adel Nematallah",,,,,1,11,3,4,6,4,0,0,0,0,0,0,0,1,3.48
39543,ACCY,517,Financial Statement Analysis,C,LCD,120188,"Ibrahim, Adel Nematallah",,,,,1,13,3,6,3,4,0,0,0,0,0,0,1,0,3.44
70667,ACCY,518,Financial Statement Fraud,D,LCD,120188,"Nekrasz, Frank",,,,,32,8,0,1,0,0,0,0,0,0,0,0,0,0,3.98
31382,ACCY,551,Corporate Income Taxation,B,LCD,120188,"Sternburg, Thomas",,,,,0,4,3,6,9,0,0,0,0,0,0,0,0,0,3.36
54570,ACCY,556,Tax Research,A,LCD,120188,"Holder, Daniel E",,,,,0,18,0,0,5,0,0,1,0,0,0,0,0,0,3.71
31384,ACCY,556,Tax Research,B,LCD,120188,"Holder, Daniel E",,,,,0,16,0,0,9,0,0,0,0,0,0,0,0,0,3.64
66737,ACCY,570,Data Analytics Foundations,AE1,LEC,120188,"Brunner, Robert J",,,,,0,147,32,7,12,3,1,3,1,1,0,0,0,0,3.79
36724,ACE,100,Agr Cons and Resource Econ,AD1,DIS,120188,"Gundersen, Lisa C",,,,,2,1,2,6,4,2,0,3,1,0,0,1,1,0,2.83
36726,ACE,100,Agr Cons and Resource Econ,AD2,DIS,120188,"Gundersen, Lisa C",,,,,2,5,2,5,2,4,1,1,1,0,0,0,0,0,3.25
36727,ACE,100,Agr Cons and Resource Econ,AD3,DIS,120188,"Gundersen, Lisa C",,,,,1,8,2,6,2,2,3,2,0,0,0,0,0,0,3.29
36732,ACE,100,Agr Cons and Resource Econ,AD5,DIS,120188,"Gundersen, Lisa C",,,,,0,1,2,3,6,2,2,2,2,0,1,0,2,0,2.51
36734,ACE,100,Agr Cons and Resource Econ,AD6,DIS,120188,"Gundersen, Lisa C",,,,,1,4,3,3,1,2,3,0,3,1,0,1,1,0,2.75
36735,ACE,100,Agr Cons and Resource Econ,AD7,DIS,120188,"Gundersen, Lisa C",,,,,2,3,8,4,4,0,0,4,0,0,1,0,0,0,3.22
36745,ACE,161,Microcomputer Applications,A,LBD,120188,"Fernandes Tomon, Andre",,,,,3,12,5,1,0,0,0,0,1,0,0,0,1,0,3.62
39708,ACE,161,Microcomputer Applications,A1,LBD,120188,"Naughton, Conner J",,,,,1,13,0,4,6,0,0,0,0,0,0,0,0,0,3.64
36736,ACE,161,Microcomputer Applications,C1,LBD,120188,"Lo, Alexander C",,,,,0,17,0,0,6,0,0,1,0,0,1,0,0,0,3.56
36747,ACE,161,Microcomputer Applications,C2,LBD,120188,"Fernandes Tomon, Andre",,,,,4,10,8,1,2,0,0,1,0,0,0,1,0,0,3.61
36749,ACE,161,Microcomputer Applications,E,LBD,120188,"Lo, Alexander C",,,,,0,20,0,0,5,0,0,0,0,0,0,0,0,0,3.8
36738,ACE,161,Microcomputer Applications,F,LBD,120188,"Lo, Alexander C",,,,,0,20,0,0,5,0,0,0,0,0,1,0,0,0,3.69
36750,ACE,161,Microcomputer Applications,G,LBD,120188,"Lo, Alexander C",,,,,0,21,0,0,3,0,0,2,0,0,0,0,0,0,3.73
36739,ACE,161,Microcomputer Applications,L1,LBD,120188,"Lo, Alexander C",,,,,0,18,0,0,5,0,0,1,0,0,0,0,0,0,3.71
36751,ACE,161,Microcomputer Applications,L2,ONL,120188,"Parthum, Bryan M",,,,,0,35,0,1,8,0,0,2,0,1,0,1,0,0,3.61
36741,ACE,161,Microcomputer Applications,N1,LBD,120188,"Lo, Alexander C",,,,,0,17,0,0,6,0,0,0,0,0,0,0,1,0,3.58
36752,ACE,161,Microcomputer Applications,N2,ONL,120188,"Parthum, Bryan M",,,,,0,37,0,0,1,0,0,0,0,0,0,0,1,0,3.87
36742,ACE,161,Microcomputer Applications,R,LBD,120188,"Li, Liqing",,,,,8,11,2,1,0,0,0,2,0,0,1,0,0,0,3.67
36744,ACE,161,Microcomputer Applications,T,LBD,120188,"Li, Liqing",,,,,9,11,2,2,1,0,0,0,0,0,0,0,0,0,3.88
61563,ACE,210,Environmental Economics,AL1,LEC,120188,"Christensen, Peter",,,,,28,27,21,15,27,10,2,8,2,2,4,0,0,0,3.32
29698,ACE,222,Agricultural Marketing,S,LCD,120188,"Stoddard, Paul B",,,,,15,31,29,22,18,10,6,11,2,1,2,1,3,1,3.23
51717,ACE,240,Personal Financial Planning,AL1,LEC,120188,"Stoddard, Paul B",,,,,12,38,31,22,20,12,10,12,5,4,1,0,5,0,3.15
69393,ACE,240,Personal Financial Planning,ONL,ONL,120188,"Lemoine, Craig",,,,,48,82,2,3,9,4,0,2,0,0,0,0,1,1,3.83
49101,ACE,251,The World Food Economy,AL1,LEC,120188,"Michelson, Hope C",,,,,17,25,32,31,25,9,9,7,2,2,0,2,2,0,3.25
31419,ACE,261,Applied Statistical Methods,AL1,LEC,120188,"Gundersen, Lisa C",,,,,28,17,10,13,9,1,3,1,1,2,1,0,1,0,3.49
52038,ACE,306,Food Law,P,LCD,120188,"Endres, A B",,,,,4,10,4,5,4,2,3,1,1,1,2,0,0,0,3.21
70565,ACE,335,Food Marketing and Behavior,FMB,LCD,120188,"Ellison, Brenna",,,,,1,14,7,5,2,1,1,0,0,0,0,0,0,0,3.66
65064,ACE,341,Contemp Issue Comm Fin Plng,CFP,LCD,120188,"Allen, Sharon C",,,,,5,8,1,2,8,0,0,0,0,0,0,0,1,0,3.46
44207,ACE,341,Issues in AgAccy and FinAg,FAA,LCD,120188,"Finnegan, Ann B",,,,,3,6,15,1,1,0,0,0,0,0,0,0,0,0,3.75
53592,ACE,345,Finan Decision Indiv Sm Bus,X,LCD,120188,"Paulson, Nicholas D",,,,,1,53,15,18,22,11,4,1,1,0,0,0,0,0,3.49
60156,ACE,346,Tax Policy and Finan Planning,A,LCD,120188,"Breen, John",,,,,11,14,10,5,10,8,1,2,1,0,1,0,0,0,3.39
52115,ACE,398,Risk Mngmt in Personal Fin Pla,RM,ONL,120188,"Lemoine, Craig",,,,,6,45,0,0,0,0,0,1,0,0,0,0,0,0,3.96
48924,ACE,406,Environmental Law,GR,LCD,120188,"Endres, A B",,,,,3,6,5,1,5,3,2,2,1,0,0,0,0,0,3.26
62829,ACE,411,Environment and Development,B,LCD,120188,"Baylis, Katherine R",,,,,9,4,6,8,10,3,0,0,0,0,0,0,3,0,3.24
64899,ACE,427,Commodity Price Analysis,M,LCD,120188,"Mallory, Mindy L",,,,,0,19,7,4,5,1,0,0,0,0,0,0,1,0,3.59
70078,ACE,427,Commodity Price Analysis,ONL,ONL,120188,"Mallory, Mindy L",,,,,0,8,15,12,9,6,7,2,1,0,0,0,3,0,3.05
43123,ACE,428,Commodity Futures and Options,T,LCD,120188,"Robe, Michel A",,,,,0,9,7,8,7,6,0,2,0,0,0,0,0,0,3.32
57775,ACE,432,Farm Management,M,LCD,120188,"Kuethe, Todd H",,,,,15,2,0,2,2,0,0,0,0,0,0,0,0,0,3.84
29710,ACE,435,Global Agribusiness Management,UG,LCD,120188,"Scholl, Jon H",,,,,2,12,14,20,16,5,1,0,0,0,0,0,1,0,3.35
51727,ACE,444,Finan Serv & Invest Plan,GR,LCD,120188,"Schnitkey, Gary D",,,,,4,20,7,4,7,3,0,0,0,0,0,0,0,0,3.65
