Subject,Course,Course Title,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade,Primary Instructor
ACCY,201,Accounting and Accountancy I,2,4,5,4,4,2,4,2,0,0,1,0,2,0,2.91,"Mammen, Gilbert G"
ACCY,201,Accounting and Accountancy I,1,5,5,1,2,1,4,1,5,0,5,0,1,1,2.55,"McDermott, John P"
ACCY,201,Accounting and Accountancy I,6,3,2,0,3,4,1,1,1,0,2,0,5,2,2.54,"Ye, Yina"
ACCY,201,Accounting and Accountancy I,5,6,4,0,3,0,1,3,2,0,3,0,2,1,2.84,"McDermott, John P"
ACCY,201,Accounting and Accountancy I,1,4,5,0,5,4,0,7,2,0,0,0,0,1,2.91,"Sylvestri, Ross J"
ACCY,202,Accounting and Accountancy II,1,4,2,14,3,3,1,0,0,0,0,0,0,0,3.33,"Balkan, Alexander C"
ACCY,202,Accounting and Accountancy II,9,7,3,11,8,4,0,1,1,0,1,0,0,1,3.36,"Balkan, Alexander C"
ACCY,202,Accounting and Accountancy II,2,11,3,10,4,5,4,1,0,0,1,0,0,1,3.27,"Ducker, Merik R"
ACCY,202,Accounting and Accountancy II,4,9,1,13,10,2,2,1,2,0,1,0,0,1,3.23,"Ducker, Merik R"
ACCY,202,Accounting and Accountancy II,4,5,5,10,11,4,4,1,2,0,0,0,0,0,3.17,"Wu, Tony Y"
ACCY,202,Accounting and Accountancy II,1,11,0,12,11,4,1,3,1,0,0,0,0,0,3.22,"Wu, Tony Y"
ACCY,301,Atg Measurement & Disclosure,0,5,4,3,5,8,0,4,1,0,1,0,1,0,2.87,"Anderson, Spencer B"
ACCY,301,Atg Measurement & Disclosure,3,9,7,1,3,3,2,1,0,0,0,0,0,0,3.47,"Anderson, Spencer B"
ACCY,301,Atg Measurement & Disclosure,4,8,9,5,1,4,1,0,0,0,0,0,0,0,3.55,"Anderson, Spencer B"
ACCY,301,Atg Measurement & Disclosure,1,8,2,6,3,6,0,0,1,0,0,0,0,1,3.33,"Wang, Zhiguang"
ACCY,301,Atg Measurement & Disclosure,2,9,7,5,4,3,2,0,0,0,0,0,0,0,3.47,"Wang, Zhiguang"
ACCY,301,Atg Measurement & Disclosure,0,2,6,6,7,8,1,0,0,0,0,0,1,0,3.05,"Sougiannis, Theodore"
ACCY,301,Atg Measurement & Disclosure,0,6,6,5,6,4,2,2,1,0,0,0,0,0,3.18,"Wang, Zhiguang"
ACCY,301,Atg Measurement & Disclosure,0,3,5,5,4,2,0,0,0,0,0,0,2,0,3.06,"Sougiannis, Theodore"
ACCY,302,Decision Making for Atg,0,1,7,9,11,2,2,0,0,2,1,1,0,0,2.97,"Finnegan, Thomas"
ACCY,302,Decision Making for Atg,0,7,14,7,7,2,0,0,0,0,0,0,0,0,3.49,"Finnegan, Thomas"
ACCY,302,Decision Making for Atg,2,2,4,11,5,2,2,1,0,0,1,1,1,0,3,"Wu, Martin G"
ACCY,302,Decision Making for Atg,6,6,10,4,5,4,0,0,1,0,0,0,0,1,3.48,"Wu, Martin G"
ACCY,302,Decision Making for Atg,0,8,5,12,7,3,0,0,0,0,0,0,0,0,3.41,"Finnegan, Thomas"
ACCY,302,Decision Making for Atg,6,1,5,6,1,5,5,0,2,0,0,0,0,0,3.15,"Wu, Martin G"
ACCY,302,Decision Making for Atg,5,5,9,6,3,4,1,0,1,0,0,0,0,0,3.43,"Wu, Martin G"
ACCY,303,Atg Institutions and Reg,1,1,3,4,3,3,5,1,4,0,0,2,0,0,2.63,"Zhu, Wei"
ACCY,303,Atg Institutions and Reg,3,4,7,7,5,1,3,1,0,1,1,1,0,1,3.14,"Zhu, Wei"
ACCY,303,Atg Institutions and Reg,2,8,13,2,9,1,0,1,0,0,0,0,0,0,3.5,"Brown, Timothy J"
ACCY,303,Atg Institutions and Reg,1,12,11,3,3,3,0,2,0,0,0,1,0,0,3.45,"Brown, Timothy J"
ACCY,303,Atg Institutions and Reg,6,5,7,11,4,2,0,0,1,0,0,0,0,0,3.48,"Zhu, Wei"
ACCY,303,Atg Institutions and Reg,0,7,6,5,6,7,0,2,0,0,0,2,1,0,3.02,"Brown, Timothy J"
ACCY,303,Atg Institutions and Reg,2,6,10,7,5,3,0,2,0,0,0,0,1,0,3.31,"Li, Wei"
ACCY,304,Accounting Control Systems,0,6,4,11,5,2,1,1,5,1,1,1,0,0,2.93,"Koo, Seung Hyun"
ACCY,304,Accounting Control Systems,0,12,8,9,4,2,2,1,0,1,0,0,0,0,3.4,"Koo, Seung Hyun"
ACCY,304,Accounting Control Systems,0,17,3,14,4,1,1,0,0,0,0,0,0,0,3.57,"Koo, Seung Hyun"
ACCY,304,Accounting Control Systems,0,2,10,9,8,3,2,0,0,0,0,1,1,0,3.11,"Wang, Wei"
ACCY,304,Accounting Control Systems,0,6,12,19,0,2,0,0,0,0,0,0,0,0,3.5,"Wang, Wei"
ACCY,304,Accounting Control Systems,0,8,11,11,2,4,1,0,0,0,0,1,0,0,3.39,"Wang, Wei"
ACCY,312,Principles of Taxation,0,21,0,0,7,0,0,4,0,0,1,0,1,0,3.35,"Holder, Daniel E"
ACCY,312,Principles of Taxation,0,13,0,8,13,0,1,2,0,0,0,0,0,0,3.35,"Holder, Charles B"
ACCY,312,Principles of Taxation,0,15,0,5,14,0,4,0,0,0,0,0,0,0,3.37,"Holder, Charles B"
ACCY,312,Principles of Taxation,0,26,0,0,10,0,0,0,0,0,2,0,0,0,3.58,"Holder, Daniel E"
ACCY,312,Principles of Taxation,0,6,6,1,7,6,1,2,1,0,0,0,0,1,3.15,"Hutchens, Matthew"
ACCY,312,Principles of Taxation,2,16,3,2,8,7,0,0,0,0,0,0,0,0,3.48,"Hutchens, Matthew"
ACCY,312,Principles of Taxation,1,9,5,6,5,7,0,0,0,0,1,0,0,0,3.32,"Hutchens, Matthew"
ACCY,405,Assurance and Attestation,0,1,7,9,3,4,2,0,0,0,0,0,0,0,3.23,"Bauer, Timothy D"
ACCY,405,Assurance and Attestation,0,5,11,12,3,3,1,0,0,0,0,0,0,0,3.42,"Bauer, Timothy D"
ACCY,405,Assurance and Attestation,1,2,10,7,2,4,0,0,0,0,0,0,0,0,3.41,"Bauer, Timothy D"
ACCY,410,Advanced Financial Reporting,3,4,4,6,8,3,2,2,1,0,0,0,1,1,3.09,"Steward, Cynthia G"
ACCY,410,Advanced Financial Reporting,6,9,5,6,5,3,0,1,0,0,0,0,0,1,3.52,"Steward, Cynthia G"
ACCY,410,Advanced Financial Reporting,4,8,7,6,4,4,1,1,0,0,0,0,0,0,3.45,"Kustanovich, Michael"
ACCY,410,Advanced Financial Reporting,0,14,7,4,5,5,1,1,0,0,0,0,0,0,3.46,"Kustanovich, Michael"
ACCY,410,Advanced Financial Reporting,1,8,4,2,5,4,2,2,0,0,0,0,1,0,3.17,"Kustanovich, Michael"
ACCY,415,Auditing Stds and Practice,0,11,5,8,3,1,0,0,1,0,0,0,0,0,3.53,"Ciconte, William"
ACCY,415,Auditing Stds and Practice,0,5,1,6,6,6,2,3,0,1,0,0,0,0,2.99,"Ciconte, William"
ACCY,415,Auditing Stds and Practice,0,9,4,5,11,0,1,1,0,0,0,0,0,0,3.38,"Ciconte, William"
ACCY,451,Advanced Income Tax Problems,4,6,5,14,4,3,4,0,0,0,0,0,0,0,3.36,"Donohoe, Michael P"
ACCY,451,Advanced Income Tax Problems,5,12,5,4,6,3,1,0,0,0,1,0,0,0,3.5,"Donohoe, Michael P"
ACCY,451,Advanced Income Tax Problems,0,4,4,9,8,0,0,0,0,0,0,0,0,0,3.41,"Sternburg, Thomas"
ACCY,451,Advanced Income Tax Problems,3,7,8,6,5,2,0,0,1,0,0,0,0,0,3.5,"Donohoe, Michael P"
ACCY,500,"Atg Measuremnt, Rpting & Cntrl",10,12,8,6,12,7,0,0,0,0,0,0,0,0,3.49,"Augusto Sampaio, Gerlando"
ACCY,500,"Atg Measuremnt, Rpting & Cntrl",6,5,9,7,5,4,0,0,0,0,0,0,0,0,3.5,"Augusto Sampaio, Gerlando"
ACCY,500,"Atg Measuremnt, Rpting & Cntrl",3,20,4,1,4,9,4,1,0,0,0,0,0,0,3.42,"Zhang, Li"
ACCY,500,"Atg Measuremnt, Rpting & Cntrl",9,11,7,11,10,6,0,0,0,0,0,0,0,0,3.49,"Augusto Sampaio, Gerlando"
ACCY,501,Accounting Analysis I A,0,6,8,5,2,1,1,0,0,0,0,0,0,0,3.52,"Davis, Gregory L"
ACCY,501,Accounting Analysis I B,2,4,8,4,3,1,0,0,0,0,0,0,0,0,3.56,"Davis, Gregory L"
ACCY,502,Accounting Analysis II,12,7,9,2,1,0,1,1,0,0,0,0,0,0,3.73,"Schwartz, Rachel"
ACCY,502,Accounting Analysis II,8,11,11,2,0,1,0,0,0,0,0,0,0,0,3.81,"Schwartz, Rachel"
ACCY,502,Accounting Analysis II,4,8,10,7,3,0,0,0,0,0,0,0,0,0,3.66,"Schwartz, Rachel"
ACCY,503,Managerial Accounting,10,11,4,2,0,0,0,0,0,0,0,0,0,0,3.9,"Chandler, John S"
ACCY,503,Managerial Accounting,0,160,104,82,69,14,6,5,0,0,0,0,0,5,3.55,"Hecht, Gary W"
ACCY,503,Managerial Accounting,0,17,9,6,13,2,0,0,0,0,0,0,0,0,3.52,"Hecht, Gary W"
ACCY,504,Auditing,0,2,7,11,3,3,0,0,0,0,0,0,0,0,3.36,"Chatterton, Angel"
ACCY,504,Auditing,0,0,12,20,2,0,0,0,0,0,0,0,0,0,3.43,"Chatterton, Angel"
ACCY,504,Auditing,3,15,3,3,15,0,0,0,0,0,0,0,0,0,3.54,"Peecher, Mark E"
ACCY,505,Federal Taxation,1,5,13,13,2,3,0,0,0,0,0,1,0,0,3.41,"Chatterton, Angel"
ACCY,505,Federal Taxation,0,20,0,0,8,0,0,2,0,0,0,0,0,0,3.6,"Holder, Daniel E"
ACCY,505,Federal Taxation,0,21,0,0,7,0,0,2,0,0,0,0,0,0,3.63,"Holder, Daniel E"
ACCY,505,Federal Taxation,1,18,0,7,5,1,0,0,0,0,0,0,0,0,3.66,"Holder, Charles B"
ACCY,510,Financial Reporting Standards,4,13,0,4,6,2,0,1,0,0,0,0,0,0,3.56,"Steward, Cynthia G"
ACCY,510,Financial Reporting Standards,4,9,7,2,5,4,0,0,0,0,0,0,0,0,3.55,"Hepp, John"
ACCY,510,Financial Reporting Standards,3,7,8,4,7,1,0,0,0,0,0,0,0,0,3.55,"Hepp, John"
ACCY,510,Financial Reporting Standards,5,14,0,4,6,2,1,1,0,0,0,0,0,0,3.55,"Steward, Cynthia G"
ACCY,512,Internal Risk Measurement/Rept,5,8,4,8,0,0,0,0,0,0,0,0,0,0,3.73,"Du, Fei"
ACCY,515,Auditing & Assurance Standards,0,4,6,12,4,4,0,0,0,0,0,0,0,0,3.36,"Zhou, Yuepin"
ACCY,515,Auditing & Assurance Standards,0,6,6,11,5,3,0,0,0,0,0,0,0,0,3.41,"Zhou, Yuepin"
ACCY,515,Auditing & Assurance Standards,0,2,9,7,6,2,1,0,0,0,0,0,0,0,3.33,"Zhou, Yuepin"
ACCY,517,Financial Statement Analysis,0,6,4,3,10,1,0,0,0,0,0,0,0,0,3.39,"Ibrahim, Adel Nematallah"
ACCY,517,Financial Statement Analysis,0,12,6,1,7,1,0,0,0,0,0,0,0,0,3.59,"Ibrahim, Adel Nematallah"
ACCY,551,Corporate Income Taxation,0,2,2,11,12,0,0,0,0,0,0,0,0,0,3.26,"Sternburg, Thomas"
ACCY,552,Partnership Income Taxation,4,7,7,2,3,2,0,0,0,0,0,0,1,0,3.49,"Hart, Michael T"
ACCY,554,International Taxation,2,3,3,6,9,2,0,0,0,0,0,0,0,0,3.33,"Engle, Howard S"
ACCY,556,Tax Research,0,6,9,11,3,0,0,0,0,0,0,0,0,0,3.54,"Chorvat, Elizabeth A"
ACCY,556,Tax Research,2,9,8,7,0,0,0,0,0,0,0,0,0,0,3.72,"Chorvat, Elizabeth A"
ACCY,558,Taxation of Closely-Held Bus.,3,12,5,1,4,0,0,0,0,0,0,0,1,0,3.6,"Mudd, Gregory L"
ACCY,570,Data Analytics Foundations,13,102,11,5,3,1,1,2,0,0,0,0,0,0,3.88,"Brunner, Robert J"
ACCY,571,Stat Analyses for Accountancy,0,47,39,17,23,4,1,4,0,2,1,0,0,0,3.49,"Brunner, Robert J"
ACE,100,Agr Cons and Resource Econ,1,0,1,1,5,3,0,4,3,2,0,0,2,0,2.26,"Gundersen, Lisa C"
ACE,100,Agr Cons and Resource Econ,0,2,2,1,3,0,2,3,3,2,0,1,4,0,2.03,"Gundersen, Lisa C"
ACE,100,Agr Cons and Resource Econ,0,1,0,4,4,3,3,2,2,1,3,0,0,0,2.43,"Gundersen, Lisa C"
ACE,100,Agr Cons and Resource Econ,2,3,2,2,6,1,1,1,4,2,1,2,0,0,2.62,"Gundersen, Lisa C"
ACE,100,Agr Cons and Resource Econ,0,4,2,4,4,1,1,2,3,0,4,1,2,0,2.41,"Gundersen, Lisa C"
ACE,161,Microcomputer Applications,0,20,0,0,4,0,0,1,0,0,0,0,1,0,3.62,"Rogalla, Valerie"
ACE,161,Microcomputer Applications,0,15,0,0,5,0,0,2,0,0,1,0,3,1,3.08,"Lo, Alexander C"
ACE,161,Microcomputer Applications,0,17,0,0,5,0,0,1,0,0,0,0,1,1,3.54,"Rogalla, Valerie"
ACE,161,Microcomputer Applications,0,19,0,0,6,0,0,1,0,0,1,0,0,0,3.59,"Lo, Alexander C"
ACE,161,Microcomputer Applications,0,19,0,0,6,0,0,0,0,0,0,0,0,0,3.76,"Lo, Alexander C"
ACE,161,Microcomputer Applications,0,23,0,0,3,0,0,0,0,0,0,0,0,0,3.88,"Lo, Alexander C"
ACE,161,Microcomputer Applications,0,14,0,0,8,0,0,1,0,0,1,0,0,1,3.46,"Lo, Alexander C"
ACE,161,Microcomputer Applications,0,39,0,0,6,0,0,1,0,0,1,0,0,1,3.77,"Rogalla, Valerie"
ACE,161,Microcomputer Applications,0,19,0,0,3,0,0,4,0,0,0,0,1,0,3.44,"Lo, Alexander C"
ACE,161,Microcomputer Applications,0,36,0,0,6,0,0,1,0,0,1,0,1,1,3.67,"Rogalla, Valerie"
ACE,161,Microcomputer Applications,0,16,0,0,3,0,0,5,0,0,0,0,0,0,3.46,"Rogalla, Valerie"
ACE,161,Microcomputer Applications,0,19,0,0,5,0,0,0,0,0,0,0,0,0,3.79,"Rogalla, Valerie"
ACE,199,Introduction to Sales,28,5,1,0,0,1,0,1,0,0,0,0,0,0,3.9,"Irani, Kaizad R"
ACE,210,Environmental Economics,23,41,17,16,23,10,7,7,4,1,1,1,5,1,3.25,"Christensen, Peter"
ACE,222,Agricultural Marketing,14,44,17,21,19,14,11,4,2,0,4,1,4,0,3.23,"Stoddard, Paul B"
ACE,240,Personal Financial Planning,12,48,38,24,24,2,4,6,2,2,0,1,3,0,3.4,"Stoddard, Paul B"
ACE,240,Personal Financial Planning,10,20,0,5,8,2,0,4,0,0,0,0,0,0,3.55,"Lemoine, Craig"
ACE,251,The World Food Economy,12,37,33,20,16,8,3,4,3,1,1,0,0,0,3.44,"Michelson, Hope C"
ACE,261,Applied Statistical Methods,4,10,17,10,9,5,5,5,0,1,2,0,1,1,3.15,"Gundersen, Lisa C"
ACE,306,Food Law,1,7,10,0,10,4,3,1,1,0,3,0,0,0,3.08,"Endres, A B"
ACE,341,Issues in Agribus Mkts & Mgmt,19,2,5,1,2,0,0,0,0,0,0,0,0,0,3.85,"Stoddard, Paul B"
ACE,341,Issues in AgAccy and FinAg,1,13,6,0,1,0,0,0,0,0,0,0,0,0,3.86,"Finnegan, Ann B"
ACE,345,Finan Decision Indiv Sm Bus,0,67,8,6,12,7,5,4,0,1,1,0,0,0,3.55,"Paulson, Nicholas D"
ACE,346,Tax Policy and Finan Planning,2,13,9,6,10,4,1,3,2,0,0,0,0,0,3.31,"Breen, John"
ACE,406,Environmental Law,6,2,2,4,12,2,2,2,2,2,0,0,1,0,2.95,"Endres, A B"
ACE,411,Environment and Development,17,10,4,5,6,4,6,2,0,0,0,0,0,0,3.47,"Baylis, Katherine R"
ACE,427,Commodity Price Analysis,0,25,10,12,17,11,4,3,2,0,2,0,2,0,3.16,"Mallory, Mindy L"
ACE,428,Commodity Futures and Options,0,5,8,8,15,5,0,6,0,0,0,0,0,0,3.11,"Robe, Michel A"
ACE,432,Farm Management,11,10,5,2,0,1,0,0,0,0,0,0,0,0,3.86,"Kuethe, Todd H"
ACE,435,Global Agribusiness Management,3,20,20,8,9,3,0,0,0,0,0,0,0,0,3.6,"Scholl, Jon H"
ACE,444,Finan Serv & Invest Plan,0,16,7,4,2,1,0,1,0,0,0,0,1,0,3.56,"Schnitkey, Gary D"
ACE,444,Finan Serv & Invest Plan,2,12,6,3,3,4,0,2,1,0,2,0,2,1,3.12,"Schnitkey, Gary D"
ACE,455,Intl Trade in Food and Agr,23,10,11,7,8,1,2,0,0,0,0,0,0,0,3.66,"Baylis, Katherine R"
ACE,562,Applied Regression Models I,1,13,3,3,4,0,0,0,0,0,0,0,0,0,3.71,"Crost, Benjamin"
ACE,564,Applied Regression Models II,1,14,2,5,2,0,0,0,0,0,0,0,0,0,3.75,"Crost, Benjamin"
ACE,592,Law and Regulation,3,5,3,5,5,2,0,1,0,0,0,0,0,0,3.42,"Kesan, Jay P"
ACES,101,Contemporary Issues in ACES,20,8,1,0,0,1,1,0,0,0,0,0,0,0,3.89,"Palma Salgado, Sindy P"
ACES,101,Contemporary Issues in ACES,6,9,3,1,2,1,0,0,0,0,0,0,0,0,3.77,"Ogolsky, Brian G"
ACES,101,Contemporary Issues in ACES,9,13,3,0,2,0,2,0,0,0,0,0,1,0,3.66,"Miller, James R"
ACES,101,Contemporary Issues in ACES,6,9,7,1,3,0,1,0,1,1,1,0,0,0,3.48,"Helton, Caroline A"
ACES,101,Contemporary Issues in ACES,8,9,2,1,0,0,0,0,0,0,1,0,2,0,3.46,"Allen, Crystal A"
ACES,101,Contemporary Issues in ACES,9,8,2,1,0,0,1,0,0,1,0,0,0,0,3.74,"Murray, Joseph L"
ACES,101,Contemporary Issues in ACES,8,14,4,0,2,0,1,0,1,0,0,0,0,0,3.76,"Breen, John"
ACES,101,Contemporary Issues in ACES,8,9,4,0,1,1,0,0,0,0,0,0,0,0,3.84,"Allen, Crystal A"
ACES,101,Contemporary Issues in ACES,16,5,2,0,0,0,0,0,0,0,0,0,1,0,3.81,"Nickols, Sharon M"
ACES,101,Contemporary Issues in ACES,6,10,3,0,1,1,1,0,0,0,1,0,1,0,3.5,"Miller, James R"
ACES,179,History of Ag in IL Since 1860,0,10,3,0,3,1,3,0,1,1,0,0,1,0,3.16,"Reid, Debra A"
ACES,179,History of Ag in IL Since 1860,0,4,0,1,4,3,1,5,1,0,0,1,5,1,2.16,"Reid, Debra A"
ADV,150,Introduction to Advertising,19,27,1,4,4,0,1,2,0,0,0,0,2,0,3.66,"Hall, Steven R"
ADV,150,Introduction to Advertising,65,135,0,13,53,6,3,9,0,2,4,1,7,1,3.53,"Hall, Steven R"
ADV,281,Advertising Research Methods,1,2,8,7,14,8,7,6,2,2,0,1,0,0,2.81,"Wise, Kevin R"
ADV,281,Advertising Research Methods,0,8,1,3,34,0,1,15,0,0,1,0,1,0,2.83,"Vargas, Patrick T"
ADV,283,Advertising and Brand Strategy,0,17,7,4,8,9,2,1,1,0,0,0,0,0,3.33,"Mabry-Flynn, Amanda D"
ADV,283,Advertising and Brand Strategy,0,23,19,5,3,0,0,0,0,0,0,0,0,0,3.75,"Mabry-Flynn, Amanda D"
ADV,283,Advertising and Brand Strategy,0,30,17,3,0,0,0,0,0,0,0,0,0,0,3.85,"Raquel, Steve A"
ADV,284,Consumer Insight,0,18,22,6,2,1,0,1,0,0,0,0,0,0,3.67,"Duff, Brittany"
ADV,284,Consumer Insight,0,22,19,3,6,0,0,0,0,0,0,0,0,0,3.71,"Das, Susmita"
ADV,284,Consumer Insight,0,7,20,4,2,0,0,0,0,0,0,0,0,0,3.66,"Ahn, Regina"
ADV,290,Sports Public Relations,0,21,13,3,3,0,0,0,0,0,0,0,0,0,3.77,"Raquel, Steve A"
ADV,305,Digital ADV Content,1,38,3,1,0,0,0,0,0,0,0,0,0,0,3.96,"Yao, Mike Z"
ADV,310,Intro to Public Relations,3,19,20,7,36,12,4,14,0,0,0,1,2,1,3.07,"Wirtz, John"
ADV,390,Content Creation,0,14,25,15,30,21,12,6,0,2,0,0,0,0,3.09,"Sheldon, Peter S"
ADV,410,Public Relations Strategies,11,12,5,18,7,2,7,1,0,0,0,0,0,0,3.41,"Ryu, Sann H"
ADV,460,Innovation in Advertising,0,18,5,12,9,7,1,1,2,0,0,0,0,0,3.34,"Ham, Chang Dae"
ADV,460,Innovation in Advertising,0,16,8,16,8,2,1,0,0,0,0,0,0,0,3.5,"Ham, Chang Dae"
ADV,483,Audience Analysis,0,3,11,8,17,9,1,1,1,0,0,0,0,0,3.14,"Sar, Sela"
ADV,483,Audience Analysis,1,2,13,13,6,11,1,0,0,0,0,0,0,0,3.25,"Taneja, Harsh"
ADV,492,Tech and Advertising Campaigns,2,22,1,1,1,0,0,0,0,0,0,0,0,0,3.93,"Yao, Mike Z"
ADV,498,The Sandage Project,0,15,9,0,4,0,0,0,0,0,0,0,0,0,3.75,"Meron, Shachar"
AE,100,Intro to Aerospace Engineering,0,37,11,0,3,5,0,2,1,0,0,0,1,0,3.61,"Woodard, Brian S"
AE,100,Intro to Aerospace Engineering,0,22,18,7,8,0,2,1,0,1,0,0,1,0,3.49,"Rovey, Joshua L"
AE,199,Computer Aided Design,1,23,6,5,3,4,0,0,0,0,0,0,1,0,3.59,"Laystrom-Woodar, Julia K"
AE,199,Computer Aided Design,0,23,11,4,3,2,2,0,0,0,0,0,1,0,3.58,"Laystrom-Woodar, Julia K"
AE,199,"Design, Build, Fly",1,19,0,0,1,0,0,0,0,0,0,0,0,0,3.95,"Ansell, Phillip J"
AE,202,Aerospace Flight Mechanics,3,18,7,11,3,3,4,2,0,0,0,0,4,0,3.21,"Ghosh, Alexander R"
AE,311,Incompressible Flow,15,14,16,9,11,11,8,7,4,2,2,3,12,0,2.75,"Bodony, Daniel J"
AE,312,Compressible Flow,2,12,1,0,15,0,0,7,0,0,5,0,1,0,2.88,"Dutton, J C"
AE,321,Mechs of Aerospace Structures,0,17,18,8,16,21,11,6,4,3,3,4,5,0,2.75,"White, Scott R"
AE,323,Applied Aerospace Structures,6,11,3,6,4,1,1,2,3,0,1,0,2,0,3.15,"Geubelle, Philippe H"
AE,352,Aerospace Dynamical Systems,19,22,20,9,5,0,0,2,0,0,0,0,0,0,3.72,"Ho, Koki"
AE,353,Aerospace Control Systems,0,10,3,6,25,11,4,4,0,0,0,0,3,0,2.92,"Voulgaris, Petros G"
AE,402,Orbital Mechanics,3,11,2,4,6,5,1,4,2,0,0,0,3,0,3.01,"Prussing, John E"
AE,416,Applied Aerodynamics,0,20,9,5,7,0,0,8,4,0,1,0,1,0,3.21,"Elliott, Gregory S"
AE,433,Aerospace Propulsion,2,7,13,20,14,18,14,9,4,8,5,1,3,0,2.67,"Panesi, Marco"
AE,442,Aerospace Systems Design I,2,27,21,11,0,2,0,0,0,1,0,0,1,0,3.64,"D'Urso, Steven J"
AE,442,Aerospace Systems Design I,2,3,5,16,9,6,3,3,2,1,2,0,3,0,2.81,"Putnam, Zachary R"
AE,451,Aeroelasticity,5,6,4,7,6,1,0,1,0,0,0,0,0,0,3.49,"Balajewicz, Maciej"
AE,454,Systems Dynamics & Control,6,10,3,2,0,0,0,0,0,0,0,0,0,0,3.88,"Namachchivaya, N S"
AE,460,Aerodynamics & Propulsion Lab,0,29,37,18,13,1,0,0,1,0,0,0,1,0,3.55,"Woodard, Brian S"
