Subject,Course,CRN,Course Title,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade,Primary Instructor
ACCY,302,30228,Decision Making for Atg,0,8,14,6,0,3,3,1,0,0,0,0,0,1,3.44,"Finnegan, Thomas"
ACCY,302,30232,Decision Making for Atg,0,11,7,1,10,4,0,0,1,0,0,0,0,0,3.39,"Fanning, Kirsten B"
ACCY,302,30255,Decision Making for Atg,5,1,4,4,6,4,2,1,0,0,0,0,0,0,3.23,"Wu, Martin G"
ACCY,303,30267,Atg Institutions and Reg,2,7,9,2,6,2,0,0,1,0,1,0,0,0,3.39,"Zhu, Wei"
ACCY,303,30271,Atg Institutions and Reg,2,10,5,0,5,2,3,3,0,0,0,2,0,0,3.16,"Schwartz, Rachel"
ACCY,303,30274,Atg Institutions and Reg,3,4,1,0,4,1,4,3,2,1,0,1,0,0,2.79,"Zhu, Wei"
ACCY,303,30276,Atg Institutions and Reg,1,6,3,9,4,1,1,2,0,0,0,0,0,0,3.33,"Zhu, Wei"
ACCY,303,30278,Atg Institutions and Reg,8,5,2,1,2,4,1,3,2,0,0,0,0,0,3.25,"Schwartz, Rachel"
ACCY,303,46358,Atg Institutions and Reg,6,10,1,4,2,3,0,1,0,0,0,1,0,0,3.49,"Schwartz, Rachel"
ACCY,304,30286,Accounting Control Systems,0,6,8,4,3,1,0,1,1,0,0,0,0,0,3.42,"Williamson, Michael"
ACCY,304,30288,Accounting Control Systems,0,5,5,4,2,3,2,0,0,0,0,0,0,0,3.35,"Williamson, Michael"
ACCY,304,30291,Accounting Control Systems,4,10,3,4,3,0,1,0,1,0,0,0,0,0,3.59,"Wu, Martin G"
ACCY,304,30294,Accounting Control Systems,0,4,10,7,3,2,0,0,0,0,0,0,0,0,3.48,"Wu, Martin G"
ACCY,304,30296,Accounting Control Systems,0,7,6,9,2,2,0,0,0,0,0,0,0,0,3.51,"Vance, Thomas W"
ACCY,304,30299,Accounting Control Systems,4,4,5,6,5,1,1,0,0,0,0,0,0,0,3.47,"Vance, Thomas W"
ACCY,312,30334,Principles of Taxation,0,6,3,4,0,4,0,3,0,2,0,0,0,0,3.08,"Hutchens, Michelle L"
ACCY,312,30335,Principles of Taxation,0,11,0,6,0,2,0,1,0,0,1,0,0,0,3.44,"Hutchens, Michelle L"
ACCY,312,30336,Principles of Taxation,4,5,2,4,6,0,1,1,1,0,0,0,0,0,3.36,"Lisowsky, Petro"
ACCY,312,39460,Principles of Taxation,4,5,4,6,4,0,0,1,0,0,0,0,0,0,3.53,"Henderson, Belinda C"
ACCY,312,56978,Principles of Taxation,0,3,9,2,5,1,0,1,1,0,0,0,0,0,3.32,"Lisowsky, Petro"
ACCY,312,65156,Principles of Taxation,0,3,6,5,4,1,1,2,0,0,0,0,0,0,3.26,"Henderson, Belinda C"
ACCY,398,63823,Practical Problems in Atg,123,6,1,2,0,0,0,0,0,0,0,0,0,0,3.99,"Nekrasz, Frank"
ACCY,405,30311,Assurance and Attestation,0,5,8,10,1,3,2,0,1,1,0,0,0,0,3.27,"Thompson, Anne M"
ACCY,405,30315,Assurance and Attestation,1,8,2,9,4,1,2,1,0,0,0,0,0,0,3.38,"Thompson, Anne M"
ACCY,405,30324,Assurance and Attestation,0,12,3,3,7,2,1,0,0,0,0,0,0,0,3.49,"Peecher, Mark E"
ACCY,410,60044,Advanced Financial Reporting,2,5,2,10,3,8,2,0,0,0,0,0,0,0,3.24,"Chen, Ciao-Wei"
ACCY,410,61733,Advanced Financial Reporting,2,10,3,11,6,1,2,0,0,0,0,0,0,0,3.46,"Chen, Ciao-Wei"
ACCY,410,61734,Advanced Financial Reporting,1,1,5,11,4,6,2,0,0,0,0,0,0,0,3.19,"Chen, Ciao-Wei"
ACCY,410,61745,Advanced Financial Reporting,2,7,3,4,3,3,2,0,0,0,4,0,0,1,3.07,"Kustanovich, Michael"
ACCY,410,61758,Advanced Financial Reporting,3,12,9,3,3,3,1,0,0,0,0,0,0,0,3.6,"Kustanovich, Michael"
ACCY,410,61759,Advanced Financial Reporting,4,5,3,10,5,4,2,0,0,0,0,0,0,0,3.35,"Urcan, Oktay"
ACCY,415,65158,Auditing Stds and Practice,2,1,6,2,2,5,0,0,3,0,0,0,0,0,3.1,"Chatterton, Angel"
ACCY,451,61737,Advanced Income Tax Problems,6,8,4,5,10,4,3,1,0,0,0,0,0,0,3.33,"Henderson, Belinda C"
ACCY,451,61739,Advanced Income Tax Problems,8,3,6,4,8,4,2,1,0,1,0,0,0,0,3.31,"Bodtke, James E"
ACCY,451,61743,Advanced Income Tax Problems,1,9,4,4,5,7,2,5,0,0,0,0,0,0,3.14,"Cox, Sharon P"
ACCY,451,65160,Advanced Income Tax Problems,0,4,3,8,8,5,4,2,0,0,0,0,0,0,3.08,"Cox, Sharon P"
ACCY,503,49296,Managerial Accounting,4,11,17,7,8,2,2,0,0,0,0,0,0,0,3.52,"Vance, Thomas W"
ACCY,510,44465,Financial Reporting Standards,5,9,0,2,6,0,2,0,1,0,0,0,0,0,3.48,"Steward, Cynthia G"
ACCY,510,44865,Financial Reporting Standards,1,6,0,7,9,3,2,0,0,0,0,0,0,0,3.25,"Steward, Cynthia G"
ACCY,510,46889,Financial Reporting Standards,3,5,9,6,4,0,0,0,0,0,0,0,0,0,3.59,"Hepp, John"
ACCY,510,46890,Financial Reporting Standards,2,3,6,11,4,1,0,0,0,0,0,0,0,0,3.46,"Hepp, John"
ACCY,512,30434,Internal Risk Measurement/Rept,0,1,22,11,4,0,1,0,0,0,0,0,0,0,3.48,"Hecht, Gary W"
ACCY,512,30436,Internal Risk Measurement/Rept,0,9,15,3,2,0,1,0,0,0,0,0,0,0,3.65,"Hecht, Gary W"
ACCY,515,44467,Auditing & Assurance Standards,0,8,6,3,7,1,0,0,0,0,0,0,0,0,3.51,"Williams, Devin J"
ACCY,515,46360,Auditing & Assurance Standards,0,3,3,9,6,2,0,0,0,0,0,0,0,0,3.32,"Williams, Devin J"
ACCY,517,30428,Financial Statement Analysis,0,7,3,4,6,2,1,1,0,0,0,0,0,0,3.33,"Ibrahim, Adel Nematallah"
ACCY,517,30431,Financial Statement Analysis,1,8,0,11,3,0,0,0,0,0,0,0,0,0,3.55,"Li, Yue"
ACCY,517,61747,Financial Statement Analysis,0,11,6,3,2,1,2,0,0,0,0,0,0,1,3.57,"Ibrahim, Adel Nematallah"
ACCY,517,63200,Financial Statement Analysis,0,30,9,0,0,0,0,1,0,0,0,0,0,0,3.88,"Elliott, W B"
ACCY,517,63202,Financial Statement Analysis,2,6,5,6,7,2,0,0,0,0,0,0,0,0,3.45,"Ibrahim, Adel Nematallah"
ACCY,517,63203,Financial Statement Analysis,0,18,2,0,0,0,0,1,0,0,0,0,0,0,3.87,"Jackson, Kevin"
ACCY,518,64807,Financial Statement Fraud,31,7,0,1,1,0,0,0,0,0,0,0,0,0,3.96,"Nekrasz, Frank"
ACCY,552,30438,Partnership Income Taxation,0,4,5,8,10,0,0,0,0,0,0,0,0,0,3.37,"Sternburg, Thomas"
ACCY,552,30440,Partnership Income Taxation,0,8,13,7,10,1,0,0,0,0,0,0,0,0,3.48,"Sternburg, Thomas"
ACCY,555,58919,Inc Tx Acctg & Multistate Tx,0,2,4,10,5,1,0,0,0,0,0,0,0,0,3.35,"Bergmann, Gregory A"
ACCY,557,58917,Consolidated Tax Returns,1,5,5,6,5,0,0,0,0,0,0,0,0,0,3.52,"Kalish, Kent J"
ACCY,557,58918,Reorganizations,3,1,8,6,2,2,0,0,0,0,0,0,0,0,3.49,"McAlpine, William C"
ACCY,561,60437,Taxes and Business Strategy,0,7,1,1,11,2,0,0,0,0,0,0,0,0,3.33,"Davis, Jon S"
ACCY,575,64806,Data Analytics Apps in ACCY,0,18,18,1,1,0,0,0,0,0,0,0,0,0,3.8,"Hecht, Gary W"
ACCY,593,57385,Advanced Topics in Accounting,3,18,5,3,9,0,0,0,0,0,0,0,0,0,3.67,"Ahmed, Waqar"
ACCY,593,30453,Advanced Topics in Accounting,4,6,4,5,15,0,0,1,0,0,0,0,0,0,3.38,"Ahmed, Waqar"
ACCY,593,63504,Advanced Topics in Accounting,1,11,3,3,18,0,0,0,0,0,0,0,0,0,3.42,"Ahmed, Waqar"
ACE,161,30503,Microcomputer Applications,0,18,0,0,6,0,0,0,0,0,0,0,0,0,3.75,"Rogalla, Valerie"
ACE,161,30486,Microcomputer Applications,0,18,0,0,5,0,0,0,0,0,1,0,0,0,3.67,"Lo, Alexander C"
ACE,161,30504,Microcomputer Applications,0,17,0,0,3,0,0,2,0,0,0,0,1,0,3.52,"Rogalla, Valerie"
ACE,161,30505,Microcomputer Applications,0,18,0,0,4,0,0,2,0,0,0,0,0,1,3.67,"Lo, Alexander C"
ACE,161,30487,Microcomputer Applications,0,21,0,0,2,0,0,1,0,0,0,0,0,0,3.83,"Lo, Alexander C"
ACE,161,30507,Microcomputer Applications,0,19,0,0,4,0,0,1,0,0,0,0,0,0,3.75,"Lo, Alexander C"
ACE,161,30489,Microcomputer Applications,0,23,0,0,1,0,0,1,0,0,0,0,0,0,3.88,"Lo, Alexander C"
ACE,161,30509,Microcomputer Applications,0,30,0,0,9,0,0,0,0,0,0,0,3,0,3.5,"Rogalla, Valerie"
ACE,161,30491,Microcomputer Applications,0,21,0,0,3,0,0,1,0,0,0,0,0,0,3.8,"Lo, Alexander C"
ACE,161,30513,Microcomputer Applications,0,36,0,0,6,0,0,2,0,0,1,0,1,0,3.63,"Rogalla, Valerie"
ACE,161,30493,Microcomputer Applications,0,11,0,0,6,0,0,5,0,0,1,0,1,0,3.04,"Rogalla, Valerie"
ACE,161,30494,Microcomputer Applications,0,16,0,0,3,0,0,3,0,0,0,0,0,2,3.59,"Rogalla, Valerie"
ACE,231,55458,Food and Agribusiness Mgt,9,39,48,31,28,12,4,2,1,2,0,1,1,0,3.4,"Stoddard, Paul B"
ACE,232,30577,Management of Farm Enterprises,8,9,10,3,22,14,4,6,4,1,0,1,0,0,3.03,"Stoddard, Paul B"
ACE,240,55444,Personal Financial Planning,10,29,6,11,13,5,2,7,0,0,1,0,3,0,3.29,"Xu, Yilan"
ACE,251,39440,The World Food Economy,0,13,20,10,21,25,8,9,2,1,1,0,1,2,2.98,"Goldsmith, Peter D"
ACE,254,44225,Economic Systems in Africa,2,5,3,2,8,3,1,7,0,1,0,0,2,0,2.8,"Allen-Smith, Joyce E"
ACE,261,60578,Applied Statistical Methods,2,4,1,7,12,4,7,6,3,4,2,0,1,0,2.61,"Serra Devesa, Maria Teres"
ACE,270,30581,Consumer Economics,0,11,1,6,10,7,4,6,5,2,2,0,5,0,2.55,"Gundersen, Craig"
ACE,310,60459,Natural Resource Economics,0,21,21,9,17,8,3,4,1,1,1,0,1,0,3.25,"Brazee, Richard J"
ACE,360,53547,Spreadsheet Models & Applic,13,4,7,1,5,2,0,1,1,1,1,0,1,0,3.33,"Doehring, Todd A"
ACE,360,53546,Spreadsheet Models & Applic,14,9,3,5,7,5,3,3,1,1,1,1,1,0,3.18,"Doehring, Todd A"
ACE,403,30588,Agricultural Law,1,3,7,9,3,2,0,2,0,0,0,0,0,0,3.33,"Coppess, Jonathan"
ACE,428,57692,Commodity Futures and Options,1,5,10,2,5,10,2,8,2,4,3,5,1,0,2.5,"Cruz, Jose C"
ACE,430,43567,Food Marketing,0,3,6,12,7,7,4,1,0,0,3,0,0,0,2.98,"Goldsmith, Peter D"
ACE,431,30593,Agri-food Strategic Management,1,4,10,4,8,5,4,2,1,0,0,0,0,0,3.14,"Ellison, Brenna"
ACE,435,58953,Global Agribusiness Management,2,22,10,3,9,3,2,1,1,0,0,0,2,0,3.38,"Schnitkey, Gary D"
ACE,444,55323,Finan Serv & Invest Plan,4,9,1,2,2,1,4,2,0,0,4,0,1,0,2.94,"Sherrick, Bruce J"
ACE,446,49906,Modeling App's Finan Plan,0,20,5,2,8,0,0,5,0,0,4,0,0,0,3.25,"Sherrick, Bruce J"
ACE,449,52915,Retirement & Benefit Planning,4,2,3,7,7,4,2,2,3,1,3,0,1,0,2.77,"Zeedyk, Betty J"
ACE,456,45927,Agr and Food Policies,0,30,1,0,4,0,0,1,0,0,0,0,0,0,3.82,"Kirwan, Barrett E"
ACE,474,30604,Econ of Consumption,0,4,3,3,7,10,3,4,1,1,1,0,0,0,2.8,"Lyons, Angela C"
ACE,476,62223,Family Economics,0,3,2,6,5,6,3,0,0,0,1,0,1,0,2.9,"Lyons, Angela C"
ACES,102,63906,Intro Sustainable Food Systems,14,10,3,1,1,0,1,0,0,0,0,0,0,0,3.86,"Rodriguez, Luis F"
ADV,150,60077,Introduction to Advertising,81,98,11,17,22,3,11,0,0,0,0,0,7,5,3.65,"Hall, Steven R"
ADV,281,60079,Advertising Research Methods,1,7,7,13,15,3,8,6,1,0,1,0,0,0,3.02,"Wise, Kevin R"
ADV,281,60083,Advertising Research Methods,0,8,1,4,33,3,1,18,0,0,1,0,0,0,2.83,"Vargas, Patrick T"
ADV,283,60080,Advertising and Brand Strategy,0,19,10,8,1,0,0,0,0,0,0,0,0,0,3.75,"Nelson, Michelle R"
ADV,283,60081,Advertising and Brand Strategy,0,27,17,1,2,0,0,0,1,0,0,0,0,0,3.78,"Nelson, Michelle R"
ADV,284,60082,Consumer Insight,0,9,24,7,6,0,1,0,0,0,0,0,0,0,3.57,"Ahn, Regina"
ADV,284,60111,Consumer Insight,0,34,14,2,0,0,0,0,0,0,0,0,0,0,3.88,"Das, Susmita"
ADV,310,54936,Intro to Public Relations,4,17,13,10,36,10,8,8,5,0,1,1,3,2,2.97,"Wirtz, John"
ADV,311,65258,Classic Campaigns,0,14,15,3,2,3,0,0,0,0,0,0,1,0,3.55,"Chambers, Jason P"
ADV,312,60084,Advertising History,0,3,4,11,6,4,4,1,0,0,0,0,0,0,3.13,"Chambers, Jason P"
ADV,390,60085,Content Creation,0,18,5,14,13,15,11,1,2,0,1,0,0,1,3.1,"Sheldon, Peter S"
ADV,410,39501,Public Relations Strategies,3,34,15,4,8,0,2,0,0,0,1,0,0,1,3.67,"Hartmann, Nathaniel B"
ADV,460,60087,Innovation in Advertising,0,14,13,9,4,2,4,1,3,0,0,0,0,0,3.35,"Ham, Chang Dae"
ADV,460,61526,Innovation in Advertising,0,26,7,10,7,3,0,1,0,0,0,0,0,0,3.59,"Ham, Chang Dae"
ADV,483,50150,Audience Analysis,0,2,23,21,5,0,1,1,2,0,0,0,0,0,3.36,"Sar, Sela"
ADV,483,30740,Audience Analysis,0,0,11,20,12,7,0,1,0,1,0,0,0,0,3.17,"Sar, Sela"
ADV,490,61427,Digital Advertising Content,0,29,1,3,6,1,1,1,0,0,2,0,3,0,3.33,"Yao, Mike Z"
ADV,490,63497,Sports PR,0,15,8,1,0,1,0,0,0,0,0,0,1,0,3.67,"Raquel, Steve A"
ADV,492,64125,Tech and Advertising Campaigns,5,21,3,4,6,1,0,0,0,0,0,0,0,0,3.73,"Yao, Mike Z"
ADV,498,63424,The Sandage Project,0,22,5,1,1,0,0,0,0,0,0,0,0,0,3.89,"Meron, Shachar"
ADV,498,63425,The Sandage Project,0,12,13,5,0,0,0,0,0,0,0,0,0,0,3.75,"Meron, Shachar"
ADV,498,63427,The Sandage Project,0,10,9,6,0,0,0,0,0,0,0,0,0,0,3.72,"Meron, Shachar"
AE,199,59233,Computer-Aided Design,2,12,7,5,4,0,1,1,1,0,1,0,1,0,3.35,"Laystrom-Woodar, Julia K"
AE,199,61002,Computer-Aided Design,0,8,7,4,1,0,1,0,0,0,0,0,1,0,3.47,"Laystrom-Woodar, Julia K"
AE,202,54415,Aerospace Flight Mechanics,4,18,26,22,15,9,1,1,2,0,0,0,0,1,3.4,"Ghosh, Alexander R"
AE,311,65567,Incompressible Flow,0,3,4,8,9,4,3,4,0,0,1,1,1,2,2.83,"Woodard, Brian S"
AE,312,29874,Compressible Flow,2,28,6,2,31,2,2,14,1,0,5,0,2,0,3.01,"Dutton, J C"
AE,321,65568,Mechs of Aerospace Structures,2,6,6,5,6,4,4,2,1,0,0,0,0,1,3.18,"James, Kai"
AE,323,54418,Applied Aerospace Structures,3,23,17,5,25,3,4,8,4,0,3,0,2,0,3.1,"Lambros, John"
AE,352,65569,Aerospace Dynamical Systems,6,6,12,3,5,6,3,4,1,0,2,0,0,1,3.16,"Namachchivaya, N S"
AE,353,29907,Aerospace Control Systems,18,22,11,2,5,0,1,0,0,2,0,0,2,1,3.6,"Bretl, Timothy W"
AE,403,29973,Spacecraft Attitude Control,5,11,4,3,3,2,0,2,0,0,0,0,0,0,3.6,"Ho, Koki"
AE,410,29954,Computational Aerodynamics,2,6,5,4,2,2,3,0,2,0,0,1,2,0,3.05,"Balajewicz, Maciej"
AE,419,29960,Aircraft Flight Mechanics,2,5,8,7,2,5,4,3,2,3,0,1,0,0,2.96,"Selig, Michael S"
AE,434,29970,Rocket Propulsion,0,4,6,2,15,4,0,4,0,0,0,0,7,0,2.62,"Levin Fliflet, Deborah"
AE,435,29965,Electric Propulsion,1,12,4,4,3,2,2,0,0,0,0,0,0,0,3.56,"Burton, Rodney L"
AE,443,56779,Aerospace Systems Design II,3,35,18,4,4,1,0,0,0,0,0,0,0,0,3.79,"D'Urso, Steven J"
AE,443,56782,Aerospace Systems Design II,0,5,14,4,12,3,3,0,1,0,0,0,0,0,3.27,"Putnam, Zachary R"
AE,461,54458,Structures & Control Lab,7,67,29,6,0,1,0,5,0,0,0,0,1,0,3.75,"Chasiotis, Ioannis"
AFRO,101,45869,"Black America, 1619-Present",1,6,2,4,2,3,2,0,0,0,0,0,1,0,3.21,"McDuffie, Erik S"
AFRO,103,44761,Black Women in the Diaspora,2,3,5,0,0,3,0,0,3,2,1,3,3,0,2.28,"Flynn, Karen"
AFRO,105,61994,Black Literature in America,0,3,3,4,7,2,0,2,0,1,0,0,0,2,3.09,"Jenkins, Candice M"
AFRO,132,65553,African American Music,0,11,5,5,2,2,0,0,0,0,0,0,0,0,3.61,"Meyers, John P"
AFRO,227,65251,Studies in Black Television,0,9,4,4,1,1,0,0,1,1,0,0,0,0,3.46,"Thompson-Spires, Nafissa"
AFRO,231,63821,Lang Diff Dis: American Persp,1,26,0,0,6,0,0,0,0,0,0,0,0,0,3.82,"Proctor, Frances A"
AGCM,315,60158,Emerging Media,0,22,1,3,3,0,0,0,0,0,0,0,0,0,3.82,"Cupps-Miller, Heather A"
AGCM,320,29901,Public Information Campaigns,0,4,9,7,2,2,0,0,0,1,0,0,0,0,3.4,"Rodriguez, Ma Lulu A"
AGED,260,58723,Intro to Leadership Studies,21,57,21,20,17,14,10,7,4,6,1,2,1,1,3.31,"Burgoon, Lisa A"
AGED,300,54390,Training and Development,4,22,1,1,3,0,1,0,1,0,0,0,0,0,3.76,"Korte, Debra S"
AGED,310,55485,Prof Dev in Leadership Ed,10,3,1,3,4,1,0,0,1,0,0,0,0,0,3.57,"Keating, Kari H"
AGED,380,47949,Leadership in Groups and Teams,7,14,15,2,3,4,0,1,0,0,0,0,0,0,3.64,"Collins, Jasmine D"
AGED,480,54403,Collaborative Leadership,9,16,2,0,0,0,1,0,0,0,0,0,0,0,3.92,"Macke, Tiffany B"
AGED,480,58805,Collaborative Leadership,3,22,9,0,0,0,0,0,0,0,0,0,1,0,3.8,"Keating, Kari H"
AIS,101,65444,Intro to Amer Indian Studies,0,9,11,6,2,1,0,0,0,0,0,0,0,0,3.62,"Theobald, Brianna J"
AIS,101,65445,Intro to Amer Indian Studies,19,12,0,1,1,0,0,0,0,0,1,0,0,1,3.86,"Davis, Jennifer L"
ANSC,100,29911,Intro to Animal Sciences,1,11,1,0,9,0,1,1,0,0,0,0,0,0,3.46,"Parrett, Douglas F"
ANSC,100,29915,Intro to Animal Sciences,2,16,0,2,9,0,2,2,0,0,1,0,0,0,3.39,"Parrett, Douglas F"
ANSC,101,54701,Contemporary Animal Issues,5,88,17,20,19,12,7,8,6,5,0,1,5,3,3.31,"Johnson, Janeen L"
ANSC,103,29920,Working With Farm Animals,0,58,0,0,3,0,0,0,0,0,0,0,0,1,3.95,"Parsons, Carl M"
ANSC,110,57581,Life With Animals and Biotech,1,15,5,2,0,0,0,1,0,0,0,0,0,0,3.79,"Allen, Crystal A"
ANSC,199,11152,Foal Watch,1,51,0,0,1,0,0,0,0,0,0,0,0,0,3.98,"Kline, Kevin H"
ANSC,205,29921,World Animal Resources,6,50,0,10,6,0,0,0,0,0,0,0,0,0,3.82,"Parsons, Carl M"
ANSC,207,50326,Companion Animal Biology &Care,14,25,6,2,1,0,0,0,0,0,1,0,0,0,3.85,"Andress, John P"
ANSC,207,50316,Companion Animal Biology &Care,28,13,3,1,0,0,0,0,0,0,0,0,0,0,3.96,"Hackett, Mary E"
ANSC,207,50323,Companion Animal Biology &Care,27,11,4,3,2,0,0,0,0,0,0,0,0,0,3.89,"Hackett, Mary E"
ANSC,207,50324,Companion Animal Biology &Care,11,15,5,4,3,2,1,4,1,0,0,0,0,0,3.52,"de Flamingh, Alida"
ANSC,207,50321,Companion Animal Biology &Care,16,15,6,4,7,0,1,0,0,0,0,0,1,0,3.65,"de Flamingh, Alida"
ANSC,223,54349,Animal Nutrition,0,35,0,5,44,0,11,15,0,6,12,0,2,0,2.8,"Dilger, Ryan N"
ANSC,224,54350,Animal Reproduction and Growth,9,15,4,11,24,6,4,27,7,3,5,3,3,1,2.66,"Miller, David J"
